Kingdom,Higher.taxonomic.group,Order,Family,Genus,species,Sexual.System,Karyotype,notes..Karyotype,Genotypic,Haplodiploidy,notes..Haplodiploidy,Predicted.ploidy,Chromosome.number..female..2N,notes..Chromosome.number..female..2N,Chromosome.number..male..2N,notes..Chromosome.number..male..2N,notes..comments,entry.name,cite.key
Animal,Arthropoda,Acariformes,Acaridae,Acarus,siro,gonochorous,XO,,,,,,18,,NA,,,Ross,oliver1977cytogenetics
Animal,Arthropoda,Acariformes,Acaridae,Acotyledon,formosani,parthenogenetic,,,,,,,NA,,NA,,parthenogenesis (obligate),Ross,phillipsen1977acotyledon
Animal,Arthropoda,Acariformes,Acaridae,Caloglyphus,berlesei,gonochorous,XO,,,,,,18,,NA,,,Ross,oliver1977cytogenetics
Animal,Arthropoda,Acariformes,Acaridae,Caloglyphus,michaeli,gonochorous,XO,,,,,,16,,NA,,,Ross,oliver1977cytogenetics
Animal,Arthropoda,Acariformes,Acaridae,Caloglyphus,mycophagus,gonochorous,XO,,,,,,16,,NA,,,Ross,oliver1977cytogenetics
Animal,Arthropoda,Acariformes,Acaridae,Rhizoglyphus,robini,gonochorous,,,,,,,NA,,NA,,,Ross,kol2003effect
Animal,Arthropoda,Acariformes,Acaridae,Rhizoglyphus,echinopus,gonochorous,XY,,,,,,10,,NA,,,Ross,norton1993phylogenetic
Animal,Arthropoda,Acariformes,Acaridae,Sancassania,berlesei,gonochorous,XO,,,,,,18,,NA,,,Ross,norton1993phylogenetic
Animal,Arthropoda,Acariformes,Acaridae,Sancassania,michaeli,gonochorous,XO,,,,,,16,,NA,,,Ross,norton1993phylogenetic
Animal,Arthropoda,Acariformes,Acaridae,Sancassania,mycophaga,gonochorous,XO,,,,,,16,,NA,,,Ross,norton1993phylogenetic
Animal,Arthropoda,Acariformes,Acaridae,Sapracarus,sp.,parthenogenetic,,,,,,,NA,,NA,,parthenogenesis (obligate),Ross,norton1993phylogenetic
Animal,Arthropoda,Acariformes,Acaridae,Sapracarus,tuberculalUs,parthenogenetic,,,,,,,NA,,NA,,parthenogenesis (obligate),Ross,norton1993phylogenetic
Animal,Arthropoda,Acariformes,Acaridae,Schwiebea,elongata,parthenogenetic,,,,,,,NA,,NA,,parthenogenesis (obligate),Ross,okabe2003factors
Animal,Arthropoda,Acariformes,Acaridae,Troglocoptes,sp.1,parthenogenetic,,,,,,,NA,,NA,,parthenogenesis (obligate),Ross,norton1993phylogenetic
