"","all","gsz","diploid.num","rates.evol","tree.2","tree.3","tree.4","tree.5","tree.6","tree.7","tree.8","tree.9","tree.10","tree.11","tree.12","tree.13","tree.14","tree.15","tree.16","tree.17","tree.18","tree.19","tree.20","tree.21","tree.22","tree.23","tree.24","tree.25","tree.26","tree.27","tree.28","tree.29","tree.30","tree.31","tree.32","tree.33","tree.34","tree.35","tree.36","tree.37","tree.38","tree.39","tree.40","tree.41","tree.42","tree.43","tree.44","tree.45","tree.46","tree.47","tree.48","tree.49","tree.50","tree.51","tree.52","tree.53","tree.54","tree.55","tree.56","tree.57","tree.58","tree.59","tree.60","tree.61","tree.62","tree.63","tree.64","tree.65","tree.66","tree.67","tree.68","tree.69","tree.70","tree.71","tree.72","tree.73","tree.74","tree.75","tree.76","tree.77","tree.78","tree.79","tree.80","tree.81","tree.82","tree.83","tree.84","tree.85","tree.86","tree.87","tree.88","tree.89","tree.90","tree.91","tree.92","tree.93","tree.94","tree.95","tree.96","tree.97","tree.98","tree.99","tree.100","tree.1"
"Apis_florea",3830580,414984608,32,"-8482.27941922197",-6504.57186885357,-6336.08667433377,-7742.31702669639,-5919.23754218493,-3730.94499680485,-7913.46256800611,-6654.49170179247,-6004.95502381151,-5328.18401380635,-6584.21654791844,-5172.70270441348,-6302.09090902673,-5536.47806045619,-5849.20162738076,-6158.48801038134,-5661.62806143453,-7727.00060776074,-7094.62822464345,-5964.42265981291,-5653.01016239817,-7083.91515427606,-5745.83504883327,-6196.8249339093,-7838.98163947054,-4503.03723305808,-6373.62415754142,-6444.93053652982,-4177.37747855482,-5368.13950435185,-7650.98743397224,-2555.00472383634,-5165.15521201144,-5977.36534948042,-4615.47833714399,-7466.52635968342,-5655.18280241705,-5739.29954931068,-5036.89312751295,-6040.92237961017,-6457.58552047384,-6664.00910213517,-5751.36696864798,-5253.58726115218,-6115.12463464168,-6036.87037283053,-8029.47337451332,-8039.99585123832,-6629.66233125771,-5863.81522187398,-6343.37251768405,-6507.93142799869,-5976.60714244113,-4908.95749880482,-7900.58134640701,-6927.2346292069,-7400.35192387996,-6125.85348069666,-7283.75464599979,-6379.1310123725,-4942.86405792932,-4369.6929618871,-5987.64021489813,-6205.37531641449,-6736.74872673398,-5535.31704907939,-5791.04294520259,-7988.96327026924,-6403.53041544579,-7621.54241837741,-7472.20906728055,-6642.79074772001,-4824.33195785386,-5408.94841700073,-5723.54977383194,-6542.10888480343,-4387.56223028234,-6994.9080019105,-6302.16056633202,-6845.68485070399,-6232.10931841732,-4726.27172325703,-8258.50495678579,-5458.47109225122,-7102.59778536807,-6292.93684216355,-6918.20665711257,-5441.00992764438,-7415.97450696998,-6334.80525553402,-6772.27439699325,-6001.3680668545,-6804.82692899378,-5185.86232478952,-5482.60672677482,-5568.11973717829,-7764.34656232742,-6480.13207337164,-6591.76572343505,-6868.61943182556,-8482.27941922197
"Apis_mellifera",4075772,462505359,32,"-7260.62053091361",-7482.89433080712,-7590.23848640321,-7803.79825139242,-8766.72979825456,-3730.94499680485,-6911.46872984257,-6330.02114814324,-6691.9828885008,-8277.72936809477,-6889.98106561275,-6000.96779087365,-6133.37050551755,-7706.17105242002,-6980.98220163868,-6820.80247105447,-6243.21702299908,-9550.27337393895,-7088.08133251917,-6412.04324319762,-6233.37422414409,-6504.45947358339,-8201.73260796524,-7959.78965801014,-7222.19862833636,-5227.41759842408,-6953.92819405856,-7156.79551579355,-5765.35761574072,-5623.54886197347,-11082.2212158739,-5539.74778941059,-5219.29667058897,-7268.28957665101,-4941.38783836956,-7343.43661558793,-6820.44204490003,-7044.79745940087,-5036.89312751295,-6702.44539618053,-7284.66127388493,-8124.36758974303,-6363.18854161002,-6448.01921559305,-6278.89716137593,-7067.9765826736,-10012.9277061169,-6132.66984618477,-7274.12803198143,-6881.18508380173,-7598.64879137577,-4163.97073479541,-7126.03381733684,-5598.51449573162,-8466.63669671802,-6064.01236133584,-5835.13446637601,-6692.77837449494,-6593.75825597188,-6615.9006655786,-5995.68447418989,-5481.95909995536,-7220.11943594733,-7676.43834643296,-7916.36725304489,-6632.52201884271,-6450.47302234352,-7988.96327026924,-7008.62309586956,-8546.23173066521,-7367.65727366009,-6506.44568232402,-6838.56751807965,-7100.85921595455,-6475.75387489928,-6908.07227840976,-5217.07026166854,-9003.4748519685,-5828.72047544994,-7866.4804554495,-7647.75204760708,-5706.35100838366,-8211.36292637008,-6603.01013006598,-6577.19923395405,-4962.24813701759,-8123.22521335563,-6971.52567669308,-7942.91722407985,-6706.66305888588,-6931.29621336024,-7686.80772319841,-5916.53551227578,-5688.66728584146,-5986.85865968064,-4972.19070584631,-8336.5478878602,-6717.22363768119,-6941.76903251486,-5611.79238434601,-7260.62053091361
"Atta_cephalotes",4437346,519005690,44,"19901.2625549537",18148.0597743778,-21283.6165114926,9286.56794401821,50900.3332451155,-27826.7858024776,-221.307057280526,-4048.78144326186,3813.57070789233,-20914.0957387824,-329.066893446289,29185.7190287908,13471.1455337383,-2801.05359733823,4935.36487497761,-2576.58217956263,-18245.4004400174,-2644.76483157592,-1028.63535742789,13926.9896811605,10641.3991312478,-34094.1507672174,-3183.6815876296,115.735884715659,5531.2961931832,-2968.74177903433,1228.14326547255,-37742.8665899341,-16836.7550474912,16982.0262983226,-1484.83174192509,-9669.02924591956,-913.975745741925,1444.62174932839,11405.8978354773,-1108.39527579453,-45746.3536341019,-697.0970454232,3480.18105032076,25205.3254269178,-1931.99456591707,14645.5744076011,2005.22295922149,5556.84035167076,4231.29057962852,7805.00984809122,-91.713130564115,-5148.71423910626,4931.70561383495,-24810.7868921357,-399.852789481474,7958.81193852918,-19072.8565003882,-3592.13565799114,4446.75981650631,-23634.7856975347,14678.4106836638,-56142.9861987643,-1759.87136906918,-891.770613116558,-16723.1775223646,-3429.38722136072,1971.87395087362,-5593.9566804096,-37601.3473651043,1724.97619923065,1266.71328143411,-34084.3643551623,-3067.28253959259,3298.2953397918,-42002.1925931518,3774.04857516964,-16050.0938288553,-24992.6700661798,-2454.12612294395,2576.01101638738,5126.33351005741,9325.25868874566,6843.06513928431,-48830.5093218804,-3229.12289345652,-2717.66438171555,5626.06049324708,1422.94891054072,-2156.94651464099,-292.928677232626,5872.19323186563,17413.6190369749,-29784.9769013337,7593.97672174828,22055.0501988128,-159.180532827258,4589.03870784571,4868.93910364471,650.844317469444,8233.13833190272,-23451.1404673546,35326.4156338707,6672.57427471793,-25620.5414308837,19901.2625549537
"Bactrocera_oleae",2985909,249185056,12,"-20942.0388199696",-9048.49406112203,-13315.1193745039,-12187.5850429868,-9574.92573055453,-8209.00118046534,-21898.990747168,-18955.6093227905,-16595.7523439778,-10891.5030024515,-13640.9402695408,-23074.4560346701,-12778.1824739164,-10899.0745446116,-14492.5653730769,-11910.0900003418,-19999.0106386048,-7884.03330288285,-11441.6870636827,-18232.6990425318,-10233.0165240753,-11275.9965940213,-24615.7343041172,-4017.27996463876,-11369.9040824056,-14935.4576303999,-10739.5743242075,-14106.0028482024,-13667.2161502506,-8626.37551703585,-5771.25663290858,-21948.5508794686,-2321.91438375168,-10942.1348697761,-16463.7821926479,-14205.4041179536,-25919.4647729865,-10690.6527448241,-7568.40046167742,-9730.01756964142,-15407.8118296219,-16062.0503514928,-15863.9854231208,-18520.0423420659,-26484.1033961089,-17348.5310304873,-9972.98056000433,-8889.1157183303,-8597.90732585577,-15911.4447325992,-13130.2338430425,-10796.9868574285,-11856.1199122837,-8414.57989437042,-10062.0479556178,-14337.9392091864,-14756.639913166,-11695.6207687176,-5290.73943010951,-19135.7796942695,-18848.5737878939,-12162.0036989523,-14589.178824444,-13285.7329631065,-9410.48195964081,-14326.0562905012,-14213.0131239461,-10071.6635891748,-12874.6147154505,-12135.9902590003,-17135.625357164,-15484.4869799825,-21940.442862329,-14121.8232172527,-7042.26419338888,-15865.23173588,-13786.5758940162,-20776.0315486672,-15004.1305654515,-11957.9342217237,-11014.9841488144,-13083.4455061536,-13881.5539439975,-16190.0998086238,-10561.7684053792,-20072.9795069142,-16884.2726747543,-14138.8278608339,-5033.14267185826,-12303.3155980892,-22842.2008335344,-16937.9596587797,-10452.3699843157,-13539.0253502381,-11408.655710655,-13020.1255048921,-17404.0048625508,-15332.9240805919,-11873.0065714884,-19243.8653633162,-20942.0388199696
"Blattella_germanica",19029642,185537488,24,"25711.2737468315",16311.9127661381,18830.9238463464,27002.314892206,16932.1328880499,20265.282731328,22119.7430079521,15135.5014443783,18186.9903529694,18880.0529397306,22152.2739436692,15742.8969185226,20804.4207551152,18396.457364896,17974.5920767409,16375.0679014592,15916.4451380173,13777.8949464774,13215.0297686771,14318.9585872714,16503.8533759648,16050.6407276148,15788.4966877595,13571.9420111182,19687.6808802514,18314.7570988646,19150.540386887,19797.4599040968,18071.9535083975,11329.812855099,14274.2878344737,13939.7075589925,19812.1894035365,16271.8375694019,18303.9591005978,12272.0180078659,18450.7122294315,17913.0158569504,15447.5202324162,21441.1640857534,17576.6013534374,21842.8456742388,24981.9533692697,17670.0161681204,19071.5797623738,16317.1490833354,22288.6611790548,17273.2469502224,23484.6703601453,13829.5799232599,31156.4257971994,16199.5318929257,16813.691485404,20489.6988832746,19319.6224831014,17136.1067710534,12443.1721061661,21899.3458586807,14781.9658258883,13943.2032102348,19005.9039831099,16552.2330564464,16167.8595998197,17395.7648494342,14626.9080861249,13834.0530869161,22527.3153710558,20414.5393338354,20284.513150245,19417.0444500182,14653.2466816791,14991.9404326346,15469.7559985906,15543.3169160808,16424.4334834031,18185.2953206374,18386.2358331371,21914.1135819831,14486.68086359,15718.5303682444,23417.4347088594,18412.0451959406,18752.2723150661,14275.0636886519,18769.8287460437,21247.4639926124,20338.6691395539,29980.4638905692,25081.0520532346,18644.6030610715,20122.2227773595,19526.7914651602,14232.8235903721,22742.2397236671,18500.2136951273,21898.7702258234,11000.0004333853,19709.4220642621,24632.6722602005,27609.3180857218,25711.2737468315
"Bombus_terrestris",1250427,162245578,36,"-80803.5568382393",-19335.0116595116,-24782.5769568578,-32186.8088807122,-23592.5552351614,-25106.6850195854,-52334.9371167533,-22375.5190498132,-22281.2881969319,-30871.2639580764,-44007.8763572134,-31318.2865225242,-34662.3509548824,-60015.967914704,-37595.3182110048,-55994.3523450707,-33840.7596138333,-40960.7808587019,-36624.8236412089,-23767.042409706,-35654.1763848267,-40080.0008726413,-42496.4748731258,-39514.0364684963,-81627.1438246889,-26732.2289001417,-44237.6562845236,-50933.8882374647,-32145.4423605307,-26566.4767413441,-22655.6220655296,-27556.5671614474,-17136.9988327015,-40531.353565047,-27527.6125789485,-39902.8264308912,-33626.1557391334,-33693.7529757772,-26112.1693485484,-21813.964488731,-34318.9354206115,-49500.5761740056,-40120.953604958,-21763.418581039,-24724.1321147427,-65167.0630335565,-31031.6717084788,-40523.5671152845,-33714.7905399025,-35138.9358564752,-37616.1683358431,-50773.3001072903,-16738.7191544872,-25766.8326090777,-45836.459426342,-33449.8960843899,-24790.7813611551,-30715.9545719375,-23385.2578080685,-43601.6180380454,-25774.5731661928,-46020.846826799,-25627.3582160351,-90630.6960055308,-15094.3316803303,-81550.9203576214,-37247.7807373704,-41691.6036648962,-31013.797117796,-31430.9373538024,-28991.2848038451,-27164.0456998894,-15995.9963078595,-48600.0503880659,-89714.1788965069,-21633.4136346935,-32502.3456941588,-62876.1793234847,-28252.2055546518,-26155.9754424395,-24443.1187177687,-42712.792844961,-21526.8607019047,-27129.0881865836,-41095.357483145,-30626.0505331481,-24185.2052122163,-25160.1543791241,-64712.7185978361,-32174.6152413308,-43188.6295027422,-20106.1607295548,-32530.5820798779,-59063.0735736429,-40994.1689952664,-29121.5897248287,-23513.3158319313,-19134.3121784192,-112725.068668809,-33711.24999019,-80803.5568382393
"Ceratitis_capitata",6957603,579057705,12,"17625.9534851203",18006.2953559492,16087.7443428512,19646.8466876343,17438.8562093265,13151.1964992074,24208.8175327623,15705.9456002184,15465.6001466139,10244.8439182774,15636.278239351,18815.0611867656,18069.3983267566,16012.4988508107,16521.7526544976,15129.4811995939,14827.2597535271,10287.2466196118,14029.3514180778,17409.2677062921,16738.5087501097,18558.6449254533,18654.1389671469,17287.710212272,25592.9596912526,20638.3824727343,17009.5935579377,18432.0996521988,19979.5605806979,17967.8193797122,20786.1163809771,19592.9752617,17847.9770592764,15735.8250820913,16318.4534457693,15382.8273283347,16063.5092474741,19820.0797892653,19316.3090056596,21607.4531773304,24121.7177304826,19982.0622865222,18412.7106920853,16315.7401066799,19171.2680574781,25982.7203069243,18064.435289349,23359.253390062,17502.2866848986,16312.0577857024,18372.5338413679,16078.8662380224,15665.8099985829,15276.7449652089,16575.3816437107,16757.2256763131,14537.9531342159,22184.748389756,18634.6172338469,16401.1122076249,21181.9559476918,17893.8187861816,17202.4863212448,27440.2038151479,14501.2982305947,23491.8174769576,17936.7978675556,18456.0651011411,14642.2347887438,27730.4879298839,23382.7038700691,21048.3828083331,19835.1069465541,15939.2733184167,12938.9347821036,15403.4679022334,20003.011281115,18378.2962239711,18150.1533332898,14517.776724981,14081.6364242622,15605.2075427848,19754.5197989936,25423.6636139257,19492.4981473815,19676.072919611,18759.8828562085,17280.3752087219,16418.721267657,19548.7452850637,27558.7240937565,16923.9973506502,19295.9055308751,21955.7696704243,16750.0093194406,17094.1192161113,24024.7834928366,21984.5011607306,16215.4728521227,17989.1742186815,17625.9534851203
"Chironomus_riparius",634901,248577651,8,"-55828.8115724166",-75671.5341161158,-67801.432810447,-88408.4789004872,-98677.3162086432,-38687.6824622215,-41475.8249457448,-32721.1941026184,-54974.388137047,-43292.061801656,-254638.711055909,-51249.414282283,-36855.8524564902,-45307.7801887118,-39013.0660362794,-202369.30211783,-47734.0123394337,-57436.4889096282,-59457.369775649,-49286.4958427897,-38189.3566820814,-60650.2115931892,-22988.8016150246,-60770.3136739688,-33016.7063631817,-83962.83339927,-43669.10896616,-62483.3086722716,-46848.1345958123,-36224.0739899279,-55640.8119216928,-20704.7146567012,-30050.4262690783,-26222.7290274801,-54987.9043053283,-37684.8463391827,-88533.3341531645,-68495.7944615579,-37224.7566680395,-46594.6155532986,-58731.4469514682,-44451.1144755386,-43180.5146745069,-89491.2618864176,-55070.8017062469,-22831.1702436057,-54477.136514774,-65719.0356730006,-27537.4338096222,-90124.4944401215,-37484.7033053099,-79222.8212782008,-26766.0484833995,-58052.9338160755,-69443.3085849841,-49568.807687613,-56625.230317625,-73854.7472947927,-34658.8829145338,-87844.2348677093,-285872.837678518,-61632.1124960928,-36731.4289363745,-45801.5650938535,-29158.0163909821,-62503.0780831897,-61791.1332473287,-121853.283892629,-56746.3876682518,-328837.902711031,-57285.127923733,-136340.403600999,-290144.764624907,-111830.58665563,-303188.228873804,-113155.285219666,-54161.3460144148,-40149.9727340435,-58961.3824849018,-47649.3495252461,-65691.6181615443,-20345.094664146,-23097.35366214,-36780.0044344639,-52245.1197245942,-48342.8717279147,-53747.0780798961,-236222.38822241,-54547.8764382594,-65526.2421809052,-42266.9355767177,-46793.4239318319,-43165.8476348877,-52656.6666311711,-21286.8736892758,-115151.828715997,-58939.9529816494,-238875.016019686,-52346.3411442131,-125000.706073021,-55828.8115724166
"Cimex_lectularius",4515376,2409977489,33,"12015.0667465781",8202.44307947013,7806.64187989445,11611.1309765383,7294.74922931696,15456.0698299747,10825.2337476738,9290.7516342648,11370.263073769,8993.23061276716,16349.061828515,15706.1259194435,11248.1568437199,9721.55569753112,10632.4009500567,13223.5043497811,14051.5283373922,9715.33643260473,12622.0828187089,10363.3105517689,12632.8494285015,7796.95821279118,13716.5275403673,11577.1513525802,13173.7357858718,11091.1105718539,12559.4918824371,13096.9503080449,7973.74649227897,9471.5384414384,10214.3967329358,8179.86517507792,9642.31899690131,11840.3502275607,12761.1987769107,10053.6744763025,10638.355966701,7271.17432750547,11134.4062627822,8555.08429848361,9004.51903910043,8011.91453169254,7780.17133389643,14792.4742143292,10888.8098101298,6179.48280655108,8852.76251471588,12003.7157615867,10685.6554816537,9559.1111954367,13337.685900436,12263.5486570665,12320.3206004657,11836.6844461095,15321.4118505598,9002.79964302684,10604.1773501601,13476.8484950319,8351.1015230877,14128.2793707113,10550.3476936758,9664.45188394336,12126.0468686904,9882.48813125119,10589.7731913918,8794.46209853678,11434.8989080363,14453.3790800247,11489.3850240063,14327.0978106721,9998.50897422704,11450.7166407217,11130.5694542924,9418.86054448567,9778.89955412292,8886.44938002792,9950.96954383768,10138.4213977616,10297.0223221041,11255.6723240563,10718.6999051401,12887.4602760106,12501.171578604,9979.60822675474,12998.9258392563,11693.6114844086,7977.31698857307,10580.4159745466,11273.6531898375,10388.5013475166,9570.02657844652,15136.2025399382,8000.91427955435,7011.59516207639,13337.4910692488,7950.34686064973,12334.1817308297,9483.99652313616,6435.91565078355,13602.674642283,12015.0667465781
"Copidosoma_floridanum",4509944,141386800,20,"590.032589087949",935.741067404719,2423.79442343264,457.904672958504,2173.72749292921,1419.35115477203,-29115.6468059615,3435.83851055822,1850.37046404645,3617.34459025524,1529.99759025168,3920.88595903526,2981.63254039258,3913.84212660333,618.645027200707,1039.80644682204,1305.0723771636,4865.10691233013,1771.74065644783,-1655.08802461374,-4848.63561933395,2917.83698227151,3466.21762362858,4838.88453754506,3296.13310160283,-15445.8964693332,2599.15647077828,2588.73497866491,5896.78361170439,896.660800222246,818.240052933296,4907.15647843142,4522.25650098937,1983.21283684438,3041.95888820299,597.737263387951,-513.823478654794,2172.385255341,935.702283756301,6841.96275110376,-21857.1415371344,6757.22769504156,1656.40785867186,2009.37265021108,2088.2159735872,2630.3404028868,5776.29608039281,2415.95884889315,-7851.4875389845,7555.38962471103,-1303.12927965203,2841.95270113029,656.489739586348,-15384.9186877285,1926.90996353948,5524.18290042268,4139.7480244052,6306.31436546029,4558.51009893795,865.439534230669,1825.3967443151,3931.23252157459,882.224327225853,1293.34226723023,-11615.5243329278,2339.78761674386,1834.45352405886,2525.1164333754,3223.45026049832,-7128.17587537645,4154.82718393873,7859.41896303897,6634.50043783727,3250.09406213468,-511.158768662293,3231.3704038996,2661.8340352969,-7739.3367569663,2754.58948166083,94.9225474301567,1518.05859908026,1222.00741785275,3701.56416146505,-7006.29896325003,8243.04481872636,4650.28794002142,2154.64957145928,2111.23783319154,5206.20016297164,2208.53356979757,-18978.3767164978,13266.5122376142,1817.06534451471,1969.36190495422,-12877.0494716262,-13159.2867590194,2964.92969612757,4632.53699701515,1772.15883759262,1648.42526975664,590.032589087949
"Cryptotermes_secundus",6125768,167263958,40,"20413.9475066145",13366.0140858151,15398.574315598,21348.1771506301,13635.3772056098,16252.7481693316,17696.8900018309,12382.6524038124,14647.4909971002,15549.039406731,17827.1561602733,13447.7282316892,17667.0372484569,14776.1706122819,14633.2610079029,13413.5265118909,13214.8708374127,12036.4581105044,11562.1436372352,12117.6680885047,14472.7067499463,14115.0681027793,12910.6600225987,11581.6740884322,15902.0608539053,14802.7209631513,15381.538588121,16621.7619269566,12510.6948976227,9829.74680101989,12997.6676420384,9926.60890283129,16131.3439684923,13319.0717785942,15068.3256746259,10382.7977137848,14946.2155964549,14598.4078804013,12825.8142953781,17650.8863459133,14475.7725484393,17401.9753179267,20336.2675058424,14759.1600879821,16211.8393523488,13460.520521261,17815.6629566558,14160.9228475264,18581.7118404396,11589.2881651683,24442.6280575238,12090.2583238897,13609.9326164655,16356.892437617,15512.3092057075,14127.1761106679,10499.2711976556,17384.3754402435,12484.0578093928,11732.0102462043,15412.8133685714,13901.7686462832,13462.9059422804,14629.6629805304,12289.919591261,15261.1558487417,17908.4253991059,17116.0619054807,16576.9783074976,15613.1449404372,12503.6484619105,13018.9333169553,13542.9873033448,12717.8750297035,13586.9195951043,15028.9683323452,15298.8957761731,18318.2172703057,12021.3270618486,14140.783486111,18692.038468157,15453.1302728294,15223.3091560294,11860.4723498194,16590.0014630665,17247.1487507781,16327.8876728208,23244.5582250412,19846.8272708533,15451.1078740384,16221.430016302,15678.5979179219,12268.1652110542,18122.2272796741,14981.0463531621,17525.8066995745,9456.82037365487,15902.3589886753,19488.6688840129,22032.2357874113,20413.9475066145
"Cyphomyrmex_costatus",2494067,152712140,20,"-16852.0258361612",-21794.1085553994,-16136.0917055048,-23214.8507565197,-15698.7334108822,-15305.738234572,-16897.1411338968,-22952.4371723483,-12222.1353067219,-18680.2427406784,-19036.7208232926,-25585.8832843916,-23287.3955778166,-17598.0105067881,-21074.2730148633,-18999.8747650068,-16745.1356082528,-16479.9958550596,-18472.1099599888,-23088.7360682793,-19660.1669831365,-22187.2401577348,-19454.2394517237,-19300.7186888466,-18654.9273258036,-16119.1069619813,-16337.432205629,-16342.2332207619,-22574.0300697369,-14808.105964605,-24811.8181272076,-13438.9938931215,-14990.3016549576,-17479.1036396847,-20520.1403894947,-29384.6544015852,-22643.8678956257,-16442.5451885901,-18901.2614019819,-14970.8637107356,-29153.676716678,-17862.1528593119,-16578.5606422568,-20466.3652772415,-20239.8852672372,-25549.2221484383,-20945.1984955349,-24938.7367042595,-16094.7033902007,-21929.4441916965,-19946.0859703201,-16879.1602772514,-15199.2213510388,-17192.2882975417,-18640.6839183389,-15581.3375102862,-16790.3780069252,-26495.3497014667,-26680.3753577998,-20627.476079663,-15147.2973030073,-21098.9878257381,-16901.7154051225,-17561.2229188165,-15244.5324485698,-19709.4057749386,-17286.2189953005,-21957.8655633612,-19415.1477183584,-18165.8186222213,-20700.8025773725,-18431.7485192742,-14958.3360703919,-17377.1599410744,-24729.8618494035,-17245.1596338502,-19175.886642075,-20447.7458993925,-18251.5479121025,-21177.8072265438,-13071.8315008419,-20157.2058259673,-17833.4110621279,-24791.5489674252,-16818.2731514085,-18749.0784238342,-20826.2153386565,-16473.2919846032,-20221.6156783008,-15690.1118124858,-17789.1089270752,-19268.1896694465,-13235.300628796,-17317.6553404152,-18137.8969262348,-20299.0959963935,-17422.8871041735,-16960.6498407718,-20386.049490445,-15719.7576004525,-16852.0258361612
"Dendroctonus_ponderosae",398960,152439475,24,"-35996.9561100809",-12055.4655780184,-17432.3664299751,-36245.395621252,-37244.1487143781,-17163.0744037022,-16225.415825575,-25554.0026917647,-12738.0132322941,-30153.9799676155,-13394.1521275931,-12588.8219768602,-16139.1882509494,-15241.8299660195,-17913.9691034376,-15253.7220285697,-22561.0287089081,-12834.2170905719,-15137.3960428669,-18857.5279951734,-60762.5439623845,-12594.9160026837,-26814.4311353709,-30154.1353987349,-39796.5678409572,-37505.6872572985,-14460.8374094806,-17500.2277336251,-22975.6328539778,-21125.0150877878,-18597.9898185267,-22484.4243333537,-27849.0534270067,-20141.7949715255,-18162.5325556146,-14080.6112164525,-9236.0779615198,-11345.8905935899,-21638.0928434752,-24953.1261248895,-15737.8070129286,-11094.5442701913,-19274.8952025736,-13088.4328406197,-17031.2719715906,-11573.6670579721,-12558.4620538065,-20488.8330481367,-16181.2496226702,-22681.3337215944,-10189.085830257,-11051.3149278693,-18219.3284206377,-28398.1795779882,-13778.1420685707,-26820.5688621162,-14830.5018820336,-14354.4506192961,-15594.1386016265,-19193.4481662483,-13221.1686674107,-14367.6988897803,-39753.5251875512,-17705.0891319534,-16146.7397734533,-14340.5972867755,-38030.6289584117,-18252.0656766899,-11081.8316162095,-13545.4096820072,-23580.7403448516,-14395.5493538574,-14979.97036345,-27740.9767587154,-16559.6117084626,-39132.4022639258,-30680.6849572667,-14882.6251459994,-15099.4671537563,-22989.543286537,-10542.4058379788,-20627.1115088796,-13542.3076960433,-9250.40414263204,-14267.0340539857,-15273.9663970956,-27501.9064256467,-14479.9392937824,-17276.5348245342,-26300.8990996277,-17075.3423221839,-10894.9134092734,-26786.119945044,-11334.092433916,-13145.4951036071,-16822.7793157775,-24194.8871762631,-13340.6506256077,-14799.9437189588,-21037.069550506,-35996.9561100809
"Diabrotica_virgifera",8222285,200467819,20,"-928.063232141736",-1230.38526001482,-2082.80105241419,-391.541260505538,2691.92170173717,-601.23653931122,5066.77796155364,-10965.8276382948,8698.52381839975,-619.235849638908,2187.04438498614,-1572.58614372513,922.025064352391,611.360410245084,-1388.09713597209,-2587.90662908726,-1726.22821549451,-1490.63121900434,2760.3874503373,237.947150282816,-801.310760002674,1830.22873462629,-698.726179962202,-1402.19592628459,354.710353953487,-979.453811222915,982.754116843455,93.481736727722,6738.88795903719,-63.1144722478776,5677.82957497847,12343.4412154653,-1986.13655604798,-3521.88917651232,1203.50054133576,1000.24916944719,768.50031683224,3149.10776126866,-2699.83175127525,-1746.29693440528,-2637.93676995605,1570.24089336168,6779.9299064337,-366.9226267513,-3624.04515818211,-377.392355824243,-2027.62036605886,45.0163537922524,4775.04908386392,-993.916126866775,125.178782801969,5051.83581949397,74.0175073779922,718.398991435158,-964.605883330471,4813.04258506329,2366.21881179092,-1460.97445677082,-879.737888657287,461.163566184282,-1674.82614363902,-236.685227096535,2687.03439231767,1485.00475629716,-2660.93194165934,-371.14507263589,2762.16466463072,-251.941086519699,-3384.71066617865,-3297.10583409518,465.929288162601,650.689123588098,1594.66284313616,-3378.63368933795,382.316575954211,1469.01583731149,-3079.03970353229,-2738.02013448824,-647.210395149554,799.116027928914,353.008693248099,2052.19114964894,2540.37435808851,-1144.72249968018,-796.520758587939,-468.306348448696,-1699.29972418048,-961.446536634297,-1936.55147711512,708.180105361038,-2360.03583479062,105.0846025471,129.563258598093,467.211106322746,-1222.17247121608,3077.1614099001,-1952.15276716195,-199.079774795463,-72.3139518718764,5493.78732442614,-928.063232141736
"Dinoponera_quadriceps",3475793,164292578,92,"41291.7160492149",14194.8607611849,6518.58121361257,15028.4055297635,10900.2880323155,12677.709113827,4903.10100041475,10549.7297059376,16518.1020619925,6303.72875175582,15131.1326924708,5761.62341078353,13865.2603034239,4205.9171911744,31443.6484623777,26842.8499217042,11564.9266550685,37069.0448118456,2670.87475982218,38099.4027018986,31403.5195314498,18361.3842372219,36560.5145904673,13438.4577373387,39644.2976600527,15314.4359395381,6041.62251171438,14546.2413860795,23462.8995012011,45212.8148981518,36868.3176968677,19331.9047254303,9936.31863080647,22227.415760464,8479.42702604241,25159.9972791939,36069.3889542757,4458.82074600725,64988.6221570732,9336.81016889551,27669.7830876014,17112.1722102459,13635.1270321351,6838.93865720792,22356.6128977309,22580.6544601193,29173.3815227345,4120.59561649436,27732.5023246699,26448.8612378033,27631.578666941,28162.2280426676,11188.3611931793,23020.0917758907,5559.50250030453,5305.82004336743,6971.74449962239,39604.1455567569,15138.8040580349,11516.6595823443,8319.77491797643,9838.02152214873,20901.6322190754,10802.2058980319,40922.7801272381,13603.1460466169,4846.72655325551,5286.19470161375,14563.3764961622,26227.2677980012,16430.2818167429,12037.4315885753,21410.892836315,19761.4548760744,26942.7794752456,22166.0197717616,7344.13839260689,30671.761081777,27804.5126910392,10261.6669842559,47027.9968253521,2836.53264925968,2236.77676163692,16475.1546454574,31505.3560728753,16006.628682291,17908.2616146962,21188.7231491906,13226.4444577316,9975.72346243895,30497.5456244297,34192.1254538175,8832.46361806901,13007.9033977664,4751.45580360538,66986.2985259554,34223.2607459831,2109.97190411241,12086.6009614578,34762.7760369675,41291.7160492149
