"","all","gsz","diploid.num","rates.evol","tree.2","tree.3","tree.4","tree.5","tree.6","tree.7","tree.8","tree.9","tree.10","tree.11","tree.12","tree.13","tree.14","tree.15","tree.16","tree.17","tree.18","tree.19","tree.20","tree.21","tree.22","tree.23","tree.24","tree.25","tree.26","tree.27","tree.28","tree.29","tree.30","tree.31","tree.32","tree.33","tree.34","tree.35","tree.36","tree.37","tree.38","tree.39","tree.40","tree.41","tree.42","tree.43","tree.44","tree.45","tree.46","tree.47","tree.48","tree.49","tree.50","tree.51","tree.52","tree.53","tree.54","tree.55","tree.56","tree.57","tree.58","tree.59","tree.60","tree.61","tree.62","tree.63","tree.64","tree.65","tree.66","tree.67","tree.68","tree.69","tree.70","tree.71","tree.72","tree.73","tree.74","tree.75","tree.76","tree.77","tree.78","tree.79","tree.80","tree.81","tree.82","tree.83","tree.84","tree.85","tree.86","tree.87","tree.88","tree.89","tree.90","tree.91","tree.92","tree.93","tree.94","tree.95","tree.96","tree.97","tree.98","tree.99","tree.100","tree.1"
"Acromyrmex_echinatior",2840746,295944863,36,"-19978.8457517225",-22492.6509223029,-21283.6165114926,-28765.426109729,-16274.7537395856,-27826.7858024776,-18517.1746630779,-26822.0921716608,-14945.5957697401,-20914.0957387824,-19520.6305308268,-28856.8021374225,-23716.4357516173,-19688.5957612045,-21111.4437274529,-21328.246176976,-18245.4004400174,-21763.1256839279,-17668.1685733774,-23217.674447012,-21132.0562378858,-34094.1507672174,-18692.5708125654,-18288.0743721917,-18478.202687234,-18004.8728773682,-15067.4317961941,-37742.8665899341,-30763.9570214141,-15647.0115073811,-27479.1689689352,-19347.2889989238,-17694.0957645999,-21293.651853938,-20278.3025241179,-28463.4231373175,-45746.3536341019,-22255.7525903525,-19784.0604880597,-26634.3156082827,-23917.5730467191,-20321.796036812,-22715.5318981131,-34038.1359722224,-20818.6517564279,-35366.9354528268,-22626.8288441673,-21097.9239073776,-16451.7237371759,-24810.7868921357,-20630.7417103724,-17456.1076303199,-19072.8565003882,-18995.4072155076,-21474.4560173286,-23634.7856975347,-18663.03826672,-56142.9861987643,-21485.2676563488,-21432.2704181395,-16723.1775223646,-22707.2522859474,-18045.5224585046,-22038.5281820651,-37601.3473651043,-20068.7566434531,-25203.5057128243,-34084.3643551623,-22507.8567200415,-19053.4902779159,-42002.1925931518,-20126.5216557718,-16050.0938288553,-24992.6700661798,-23074.6773951302,-18328.2881504167,-22979.6673643932,-25758.5048122242,-18381.3532295384,-48830.5093218804,-15005.3502876557,-15534.3113555212,-18081.9131517986,-26916.602156118,-25808.8256268411,-17198.3891284298,-22336.6088189755,-16837.1678503422,-29784.9769013337,-15830.6756338554,-29563.9088883974,-19356.9884827825,-15757.1951481152,-20386.3725911797,-17500.2307093337,-21221.5993701363,-23451.1404673546,-18288.9481295567,-27789.8149652241,-25620.5414308837,-19978.8457517225
"Aedes_albopictus",14776332,2247306217,6,"80521.4647716736",98879.6741072905,77761.0388577636,128773.189023032,88720.2806091845,78913.0044437164,80316.0933420686,61672.6710716241,118423.895758189,79819.1668832195,67233.0535195499,78942.6587796781,87106.6430524911,73526.1674483751,95576.6962122436,75370.849168322,80895.8927011882,114077.100136556,66526.1879325723,48990.5133303416,89032.450788621,70044.6094928296,140488.854207568,112768.104999277,64018.6083910261,123098.903166095,79049.9056145998,145388.967123581,116642.527046251,113006.146064401,66503.3926181709,90035.2329142444,105936.320620041,69953.8124860603,156218.564106951,82560.9403362359,101798.736272993,76467.7951090784,77797.0145767519,90717.2089193832,102813.949135847,72995.6188722825,64273.7373704826,103281.286120548,68488.0302858684,103618.593591116,133830.832846531,108511.909411344,93468.5319099965,94809.6879898752,160723.371919993,120110.203543695,117284.139319603,122103.890925428,78806.1585424906,67632.2330973414,111507.179764581,81749.588013913,98741.7257315569,77082.2034439214,82557.9634831844,81265.1127293746,80422.2290992638,80705.493625434,68792.3008037433,73417.4944031989,70111.3039000919,132143.609129828,78984.3188303015,115701.087940842,119450.767988144,113927.794492421,114322.240669161,66406.1848039076,114461.69842675,136112.241717176,136338.070571451,65947.0501419485,78126.18964317,65253.9140606422,103280.842626689,81828.8884501049,78751.3186057179,93184.0627590378,90814.3828947622,76744.033556097,80978.138889741,91239.7322133885,63907.1440869951,111920.063264755,115126.953312145,89537.9465139005,94440.4222842645,88237.3521032284,60849.156286201,108747.093574577,171451.207502147,104312.685905064,118970.431825432,111986.612999534,80521.4647716736
"Anopheles_aquasalis",2585695,246567867,6,"-8918.13227539085",-15315.17540789,-26127.1485078913,-15042.2597350853,-24678.5828639926,-7535.18191887026,-30564.6131818096,-11356.8491810272,-22025.1097526419,-9190.33206152296,-29580.4068293771,-23776.0741448504,-14483.1883576567,-14176.3504115536,-1595.90499113856,-12475.7629850497,-20174.3744289808,-17132.4556991358,-17921.7706340308,-28432.4124552526,-16714.2754196983,-18526.6330103207,-31967.2234217348,-26214.5415103447,-11316.1412796614,-15008.8559461817,-29835.8872537141,-18816.6827001757,-526.206508037368,-16668.3074689287,-49445.6238504441,-15605.2395826885,-15838.9424378146,-10908.500593372,-15475.7665329703,-22418.3773679661,-20674.5247250855,-15075.298580516,-23895.3026358241,-23776.2895408437,-18792.5324500383,-38277.1509297889,-18741.6117761324,-13814.2838398569,-20791.4105114839,-13604.8867866263,-13948.8593760001,-21987.8066433963,-29101.2727150522,-34097.2960539177,-30940.0898626219,-11455.0231533349,-15393.0727451351,-16431.016352638,-26872.6260934602,-18184.6532459816,-14405.8677685882,-19222.3280666893,-30068.8638636939,-38535.5915953318,-25262.007266149,-18456.8785097108,-13524.6983544938,-19152.5951184679,-21664.6737059111,-26960.2801062022,-9700.82308400714,-23053.6790000945,-27761.1285635583,-29820.9256074268,-22710.1862742325,-17234.4698270055,-21022.2383437237,-15362.9572894186,-20865.2943753678,-17064.2542962826,-9061.93311081356,-28823.5417515751,-25736.0409700788,-27854.5367567902,-24930.4567362931,-20254.6584912186,-18523.169253237,-19220.283422908,-28889.6045811607,-21023.0560242578,-20576.9566180928,-31545.9590414445,-21210.3254629844,-17824.9707377664,-32316.4522570135,-26565.5587082238,-21588.0511447525,-22795.0554615994,-22714.662271082,-22435.8269963653,-6800.09207949029,-19570.3777534426,-23512.3076998773,-16896.3670709957,-8918.13227539085
"Anopheles_darlingi",2790199,223486714,6,"-8918.13227539085",-15315.17540789,-26127.1485078913,-15042.2597350853,-24678.5828639926,-7535.18191887026,-30564.6131818096,-11356.8491810272,-22025.1097526419,-9190.33206152296,-29580.4068293771,-23776.0741448504,-14483.1883576567,-14176.3504115536,-22701.3297696025,-12475.7629850497,-20174.3744289808,-17132.4556991358,-17921.7706340308,-28432.4124552526,-16714.2754196983,-18526.6330103207,-31967.2234217348,-26214.5415103447,-11316.1412796614,-15008.8559461817,-29835.8872537141,-18816.6827001757,-15729.9143080752,-16668.3074689287,-49445.6238504441,-15605.2395826885,-15838.9424378146,-10908.500593372,-15475.7665329703,-22418.3773679661,-20674.5247250855,-15075.298580516,-23895.3026358241,-23776.2895408437,-18792.5324500383,-38277.1509297889,-18741.6117761324,-13814.2838398569,-20791.4105114839,-13604.8867866263,-13948.8593760001,-21987.8066433963,-29101.2727150522,-34097.2960539177,-30940.0898626219,-11455.0231533349,-15393.0727451351,-16431.016352638,-26872.6260934602,-18184.6532459816,-14405.8677685882,-19222.3280666893,-30068.8638636939,-38535.5915953318,-25262.007266149,-18456.8785097108,-13524.6983544938,-19152.5951184679,-21664.6737059111,-26960.2801062022,-9700.82308400714,-23053.6790000945,-27761.1285635583,-29820.9256074268,-22710.1862742325,-17234.4698270055,-21022.2383437237,-15362.9572894186,-20865.2943753678,-17064.2542962826,-9061.93311081356,-28823.5417515751,-25736.0409700788,-27854.5367567902,-24930.4567362931,-20254.6584912186,-18523.169253237,-19220.283422908,-28889.6045811607,-21023.0560242578,-20576.9566180928,-31545.9590414445,-21210.3254629844,-17824.9707377664,-32316.4522570135,-26565.5587082238,-21588.0511447525,-22795.0554615994,-22714.662271082,-22435.8269963653,-40753.1047081178,-19570.3777534426,-23512.3076998773,-16896.3670709957,-8918.13227539085
"Anopheles_stephensi",2198791,346134187,6,"-17321.3946572722",-18176.3735051307,-20420.0366682644,-17935.065508779,-13187.5652015757,-19895.4593265372,-18950.4004159791,-15298.3479185809,-16519.4006548856,-20458.2342283672,-18963.8834030179,-16860.2242503588,-18273.1112507601,-16432.1117361386,-14367.3230720034,-16365.0392774226,-23261.5621299216,-27069.4489768297,-17622.6313301632,-22804.3403576005,-20830.2570085009,-14493.7180026773,-17712.8508631348,-21755.3896846958,-20606.1584539508,-18155.2133409006,-17086.5051574275,-19255.0110778876,-28147.7272711293,-15390.3772967992,-18957.9414675312,-6965.79036991554,-19510.0895891856,-17244.4899741515,-22611.5579816465,-27524.4663970529,-18579.8539819044,-21687.8812828184,-18701.2353409906,-20068.8935043988,-19050.6677469015,-19844.2346383383,-19345.2205461255,-18213.6728376669,-17398.5944124847,-17029.4032630767,-22772.9990998138,-16711.8598022597,-18011.2161864953,-18975.1679402775,-15861.9355060513,-21934.553508747,-21542.0346515676,-13622.864129597,-19515.7974656931,-20531.4696389738,-23754.3370080418,-16694.6555706172,-20030.8943300662,-26506.1014117676,-17606.568259805,-20031.9144726118,-15063.7481568274,-18601.278087057,-20625.53403466,-21019.9192228087,-17862.5527573387,-31127.0663850816,-18884.4845019396,-22533.5370186538,-19746.6685375846,-18602.2317829713,-20276.514822052,-13581.2315930816,-26891.2754460664,-18535.8858146727,-19624.0627133715,-17635.7348403905,-14545.3424528832,-20896.3394946803,-13469.9269671454,-22985.4765024567,-20854.1997785993,-20985.9394206136,-22473.7433864629,-24606.6178024294,-23134.4535708026,-19039.4313997885,-27604.8333350462,-27331.5398637926,-21297.0715106006,-21977.3280087019,-22027.0196477503,-22199.5705166862,-21565.5996441952,-19736.5880735829,-18386.3805927152,-17970.0494138206,-22644.9204630688,-19547.6596316346,-17321.3946572722
"Anoplophora_glabripennis",1973740,342642954,20,"-15060.9972831909",-8239.10267121755,-4930.35938556899,-12090.2623692896,-9800.51701401692,-10220.3281541716,-13828.6658072713,-8021.85960362434,-11746.9539881181,-12064.1866772415,-10934.7069396812,-11549.0777077377,-12284.1513169613,-4724.34792750779,-14533.298337448,-13621.2854025157,-7569.52157119702,-5543.7186769564,-10959.7065096499,-13021.3758782816,-9032.24558011896,-8739.30648352575,-8826.88633261815,-20008.361874661,-9923.46254956829,-12010.0957439004,-12606.5096717285,-19767.2303171355,-7495.5358459619,-10394.9386540954,-13582.2146763035,-2463.70987891755,-18375.1275268165,-12539.8542132787,-5266.94727601116,-11173.5410243875,-9760.62809719158,-14140.0458423007,-8424.73380880448,-13345.9575394061,-12613.0065577369,-9645.48245935957,-10694.7706290357,-11194.9759667747,-10064.0793570936,-8148.70620536318,-11664.4338447154,-14937.1385546657,-9933.59371262224,-15523.3419055706,-18327.5327169596,-13143.5573222238,-9533.37505070094,-13559.8261403332,-15387.5454810343,-14903.3104879098,-8626.07362071522,-10600.4841762718,-17627.3159435747,-18118.0271247892,-10548.8260447233,-5470.85989255221,-13468.7231458123,-9179.1741356617,-11006.2896255966,-11575.3239469609,-11197.3810911082,-11757.4383018023,-10524.0480985692,-17511.933139964,-18827.9736699032,-15004.5067558305,-15663.3239713288,-15863.0095119109,-11620.6789635567,-8773.62270976768,-9677.15429666525,-10208.1771568106,-10482.2200340134,-13033.8007180637,-9913.93052508504,-5716.70911841519,-12071.3183910956,-15651.2572472214,-15200.3236091847,-10029.7440174946,-17594.4121951646,-13560.9950777103,-16005.9202222847,-10187.3687141782,-13245.3161692143,-9388.12659310524,-11569.4034971438,-12407.5532979646,-10276.3827888048,-20938.5962096543,-9657.62632866026,-16330.5988051233,-14268.3573142085,-7805.13592408378,-15060.9972831909
"Aphaenogaster_fulva",2015075,230340171,36,"-22749.1084473032",-22001.6955112071,-16953.5240857714,-13723.1536916811,-76401.4006763011,-70177.5512135301,-19335.4353344332,-19490.3295063281,-17543.9355375297,-40027.010401963,-72078.7619819706,-18575.2746831154,-19181.1472352872,-20742.0709593519,-22129.8144160957,-18968.1523142594,-19861.4687604122,-21929.1302842705,-37779.8815840339,-493003.282751999,-20555.9874485208,-15708.4614045813,-18212.5127364904,-22866.8402780316,-19361.3738299744,-17597.2675312964,-36877.5637405401,-31376.1502078366,-29152.5769897526,-17369.8713585866,-24394.1716030276,-19525.6885954922,-16153.9523775535,-15968.3308230624,-18006.6545243664,-16793.451760347,-17354.1524906242,-25235.2741867637,-16519.1364808069,-16111.1126684761,-52621.0989707109,-16434.2383405576,-16340.9204948479,-14637.9730107388,-60058.5065324006,-23201.0791068174,-76104.0485199057,-17762.4815355291,-15079.795768443,-86213.3138702843,-26333.2377768476,-20564.8019053563,-29711.1403164722,-24068.5124564979,-25524.1918131688,-161926.356797361,-16843.6696830493,-15384.0109584218,-17812.4045755967,-21982.0065596865,-22081.3119876271,-26895.7172512547,-15772.240158649,-10802.4593212324,-101560.853168635,-45995.3739614474,-19317.4471537218,-22897.9356644008,-15485.9230467427,-51587.6548545283,-20987.2491998863,-27242.747295515,-89922.2525241405,-54926.296670883,-23501.6412856141,-20372.3444846231,-346418.36137828,-86858.7050339681,-131166.07747252,-17067.5579853151,-16408.7251234597,-9640.00109341758,-15901.7577917816,-397632.688674382,-105944.501622194,-20270.519722024,-42137.3839054089,-26587.4925835314,-59973.5136307843,-15976.6867066492,-415043.499970867,-20503.7466076163,-12057.8974479851,-16652.4745837071,-72276.9794594822,-20294.5666113006,-16130.6402784506,-16278.7496710821,-213274.135419427,-17898.0987972991,-22749.1084473032
"Aphaenogaster_miamiana",2236044,230485475,36,"-71678.6443334271",-90297.3714833872,-61189.5534360912,-62065.1796529192,-46169.7661812378,-34533.653138729,-85010.1439238639,-82321.7194683636,-96989.5489080351,-32075.2670851373,-36906.7093006743,-51150.7297490929,-86443.6202537618,-60820.1082248484,-71793.7233279975,-66965.5934604691,-77015.0951279004,-86464.7750869835,-74328.0640897397,-53977.6248370369,-79746.8088457216,-74913.5163201076,-71475.7031595289,-92097.6028132264,-77772.403148713,-77765.278759907,-70860.758264179,-55537.2693874685,-79141.2271572462,-51132.6133689393,-75759.1995911567,-51863.0722633721,-53889.122122934,-66819.6443569439,-69553.8614457922,-59172.5824565412,-51893.5361237722,-33265.5628442503,-104478.125538237,-53972.9536338021,-54176.6662803432,-76629.2177724639,-72430.652544179,-103833.016463988,-37804.2920431431,-76740.2591934267,-45809.0622129581,-61117.5323508382,-56543.7298960601,-53810.7690881559,-121631.139545499,-82092.8580395072,-75511.4841260441,-42059.8460338137,-170692.301196988,-46638.6300197635,-114376.719170291,-97641.5682612987,-71043.8351040045,-53159.0806812688,-73774.0173984761,-37533.5501877978,-64200.3214576406,-62989.1796931192,-49084.5684477792,-101314.421324725,-77493.9171418717,-83307.7467843569,-46471.6635454951,-107467.552017894,-114595.296217874,-75726.778648216,-61753.229506746,-56196.5584323396,-75317.6866007571,-97750.65957928,-55221.7961311165,-66960.8841439885,-69832.640227688,-70089.3449545805,-70547.4252362244,-74756.2007282314,-57290.9469677001,-90203.3696478411,-78969.2668929358,-63768.9797414205,-75881.5816735783,-55825.648522592,-49474.7346433597,-43193.5465546111,-65923.4952755367,-85221.5493991037,-125639.135502483,-81437.5210927855,-104413.388143458,-131219.528638562,-55276.5825226887,-75822.3185805863,-66461.5463982423,-51241.6384655528,-71678.6443334271
"Apis_cerana",2739884,317690795,32,"-9861.26106220014",-7894.7261168417,-11376.2759609458,-8674.43528054334,-12721.2542205194,-13720.7927527584,-8580.93811796185,-8232.88885688407,-13289.6742101449,-20728.741293641,-14691.3985329038,-20715.692215539,-7508.02924038831,-16256.4003444273,-15385.7883431002,-37688.272788024,-7260.85577598988,-12274.1789576707,-9114.5078926047,-7074.20858937592,-7335.29570146253,-9272.5407074671,-9678.35618778708,-20696.5240654885,-9362.50700788498,-18094.9160439069,-18145.6943439257,-12060.8462603288,-6651.62904973694,-21141.9136344547,-3752.57149656398,-5693.64132717899,-19581.9391869783,-14729.0663224202,-14293.8100564749,-10371.2549739735,-10130.3089086625,-11435.5725459589,-6856.26701321603,-12558.3902466611,-13556.8359393592,-16124.4593620213,-13330.2366585156,-13480.6988395358,-6823.05275734896,-11152.0010058832,-14349.5839367419,-9310.4886777626,-8047.16169554762,-8397.86354765236,-18808.7822727392,-9751.3289338583,-12730.5096606582,-7872.74699021545,-10622.864107359,-7505.1888984293,-8939.66028446092,-31025.9624280471,-9315.90615748985,-10339.0225659482,-16623.1979733994,-15193.9077272785,-8675.9013219889,-13903.8612090285,-8939.79945391672,-12535.0446495528,-11540.9451475211,-13891.3355633704,-14161.0900934421,-10615.5882266282,-10129.9588108244,-9438.39579774762,-17283.7702296479,-10232.5509348759,-13144.374022272,-12870.6041687546,-16797.8492456775,-12973.9513430104,-8123.95210821894,-12228.6937453246,-12670.9707334622,-20302.6431682964,-9904.0871355463,-6810.08960508649,-8352.20281111239,-6623.61958472287,-9809.29331377642,-17432.3895447218,-15329.6146482063,-12028.6332140003,-7521.75842491825,-8953.98467120566,-7726.47772675911,-24447.7946916765,-12113.0518193497,-6459.23182019657,-9950.29896096051,-10744.8210300144,-10703.7038257527,-7995.21067163444,-9861.26106220014
"Apis_dorsata",3364273,291257934,32,"-7260.62053091361",-7482.89433080712,-11376.2759609458,-7803.79825139242,-12721.2542205194,-13720.7927527584,-6911.46872984257,-6330.02114814324,-13289.6742101449,-20728.741293641,-14691.3985329038,-20715.692215539,-6133.37050551755,-16256.4003444273,-15385.7883431002,-37688.272788024,-6243.21702299908,-9550.27337393895,-7088.08133251917,-6412.04324319762,-6233.37422414409,-6504.45947358339,-9678.35618778708,-20696.5240654885,-7222.19862833636,-18094.9160439069,-18145.6943439257,-12060.8462603288,-5765.35761574072,-21141.9136344547,-11082.2212158739,-5539.74778941059,-19581.9391869783,-14729.0663224202,-14293.8100564749,-7343.43661558793,-10130.3089086625,-11435.5725459589,-6856.26701321603,-12558.3902466611,-13556.8359393592,-16124.4593620213,-13330.2366585156,-13480.6988395358,-6278.89716137593,-11152.0010058832,-14349.5839367419,-6132.66984618477,-8047.16169554762,-8397.86354765236,-18808.7822727392,-9751.3289338583,-12730.5096606582,-7872.74699021545,-8466.63669671802,-6064.01236133584,-5835.13446637601,-31025.9624280471,-6593.75825597188,-10339.0225659482,-16623.1979733994,-15193.9077272785,-8675.9013219889,-13903.8612090285,-8939.79945391672,-12535.0446495528,-11540.9451475211,-13891.3355633704,-14161.0900934421,-8546.23173066521,-7367.65727366009,-6506.44568232402,-17283.7702296479,-10232.5509348759,-13144.374022272,-12870.6041687546,-16797.8492456775,-12973.9513430104,-5828.72047544994,-12228.6937453246,-12670.9707334622,-20302.6431682964,-8211.36292637008,-6603.01013006598,-6577.19923395405,-4962.24813701759,-8123.22521335563,-17432.3895447218,-15329.6146482063,-12028.6332140003,-6931.29621336024,-8953.98467120566,-5916.53551227578,-24447.7946916765,-12113.0518193497,-4972.19070584631,-8336.5478878602,-6717.22363768119,-10703.7038257527,-5611.79238434601,-7260.62053091361
