order,family,genus,species,holo or mono
Diptera,Drosophilidae,Drosophila,Drosophila_kikkawai,M
Diptera,Drosophilidae,Drosophila,Drosophila_melanogaster,M
Diptera,Drosophilidae,Drosophila,Drosophila_miranda,M
Diptera,Drosophilidae,Drosophila,Drosophila_mojavensis,M
Diptera,Drosophilidae,Drosophila,Drosophila_montana,M
Diptera,Drosophilidae,Drosophila,Drosophila_nasuta,M
Diptera,Drosophilidae,Drosophila,Drosophila_novamexicana,M
Diptera,Drosophilidae,Drosophila,Drosophila_obscura,M
Diptera,Drosophilidae,Drosophila,Drosophila_persimilis,M
Diptera,Drosophilidae,Drosophila,Drosophila_pseudoobscura,M
Diptera,Drosophilidae,Drosophila,Drosophila_sechellia,M
Diptera,Drosophilidae,Drosophila,Drosophila_serrata,M
Diptera,Drosophilidae,Drosophila,Drosophila_simulans,M
Diptera,Drosophilidae,Drosophila,Drosophila_subobscura,M
Diptera,Drosophilidae,Drosophila,Drosophila_suzukii,M
Diptera,Drosophilidae,Drosophila,Drosophila_takahashii,M
Diptera,Drosophilidae,Drosophila,Drosophila_virilis,M
Diptera,Drosophilidae,Drosophila,Drosophila_willistoni,M
Diptera,Drosophilidae,Drosophila,Drosophila_yakuba,M
Diptera,Tephritidae,Fopius,Fopius_arisanus,M
Diptera,Glossinidae,Glossina,Glossina_austeni,M
Diptera,Glossinidae,Glossina,Glossina_brevipalpis,M
Diptera,Glossinidae,Glossina,Glossina_fuscipes,M
Diptera,Glossinidae,Glossina,Glossina_morsitans,M
Diptera,Glossinidae,Glossina,Glossina_pallidipes,M
Diptera,Glossinidae,Glossina,Glossina_palpalis,M
Diptera,Calliphoridae,Lucilia,Lucilia_cuprina,M
Diptera,Cecidomyiidae,Mayetiola,Mayetiola_destructor,M
Diptera,Muscidae,Musca,Musca_domestica,M
Diptera,Rhinophoridae,Paykullia,Paykullia_maculata,M
Diptera,Calliphoridae,Phormia,Phormia_regina,M
Diptera,Tephritidae,Rhagoletis,Rhagoletis_zephyria,M
Diptera,Drosophilidae,Scaptodrosophila,Scaptodrosophila_lebanonensis,M
Diptera,Muscidae,Stomoxys,Stomoxys_calcitrans,M
Diptera,Diopsidae,Teleopsis,Teleopsis_dalmanni,M
Diptera,Drosophilidae,Zaprionus,Zaprionus_indianus,M
Diptera,Tephritidae,Zeugodacus,Zeugodacus_cucurbitae,M
Ephemeroptera,Ephemeridae,Ephemera,Ephemera_danica,H
Hemiptera,Cimicidae,Cimex,Cimex_lectularius,H
Hemiptera,Pseudococcidae,Ferrisia,Ferrisia_virgata,H
Hemiptera,Gerridae,Gerris,Gerris_buenoi,H
