generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,3,1
3000,1,4,1
4000,2,3,0
5000,2,4,0
6000,1,2,1
7000,3,4,0
8000,2,4,0
9000,1,3,0
10000,3,4,0
11000,2,3,1
12000,3,4,1
13000,1,3,0
14000,2,3,0
15000,1,2,0
16000,2,4,1
17000,2,4,0
18000,1,3,0
19000,2,3,0
20000,2,3,0
21000,1,2,0
22000,2,3,0
23000,1,4,0
24000,3,4,1
25000,1,2,0
26000,3,4,0
27000,2,4,0
28000,1,4,0
29000,2,4,0
30000,1,2,0
31000,1,3,0
32000,3,4,0
33000,3,4,0
34000,1,3,0
35000,1,4,0
36000,1,4,0
37000,1,2,0
38000,1,4,0
39000,2,3,0
40000,1,2,0
41000,2,3,0
42000,3,4,0
43000,1,4,0
44000,2,3,0
45000,1,2,0
46000,2,3,0
47000,1,2,0
48000,3,4,0
49000,2,4,0
50000,1,4,0
51000,2,4,0
52000,2,3,0
53000,1,3,0
54000,1,4,0
55000,3,4,0
56000,2,3,0
57000,3,4,0
58000,1,3,0
59000,3,4,0
60000,2,3,0
61000,2,3,1
62000,2,4,0
63000,2,4,0
64000,2,3,0
65000,1,2,1
66000,1,3,0
67000,1,3,0
68000,1,4,0
69000,3,4,0
70000,1,3,0
71000,3,4,0
72000,2,4,0
73000,3,4,0
74000,3,4,0
75000,1,3,0
76000,1,4,0
77000,1,3,0
78000,1,2,0
79000,1,4,0
80000,1,2,0
81000,1,4,0
82000,2,4,0
83000,2,4,0
84000,1,2,0
85000,1,4,0
86000,1,4,0
87000,3,4,0
88000,1,2,1
89000,2,4,0
90000,3,4,0
91000,1,2,1
92000,2,3,1
93000,1,2,0
94000,2,4,0
95000,2,3,1
96000,3,4,0
97000,2,3,0
98000,1,4,0
99000,1,4,0
100000,2,4,0
101000,3,4,0
102000,1,4,0
103000,2,3,0
104000,1,3,0
105000,3,4,1
106000,1,2,1
107000,2,4,0
108000,2,4,0
109000,2,4,0
110000,1,4,0
111000,1,4,1
112000,1,2,1
113000,1,3,0
114000,2,3,1
115000,2,3,1
116000,1,2,0
117000,2,4,0
118000,1,2,0
119000,1,3,0
120000,2,4,0
121000,2,4,0
122000,1,4,0
123000,2,3,0
124000,1,4,0
125000,1,4,0
126000,3,4,1
127000,1,4,0
128000,1,2,0
129000,1,2,1
130000,2,3,0
131000,2,4,0
132000,3,4,1
133000,1,3,0
134000,3,4,1
135000,1,2,1
136000,2,3,0
137000,1,2,0
138000,1,3,0
139000,1,3,0
140000,2,3,0
141000,2,4,0
142000,2,3,0
143000,1,4,0
144000,2,3,0
145000,1,4,0
146000,3,4,1
147000,2,4,0
148000,1,2,0
149000,1,3,0
150000,1,4,0
151000,2,3,0
152000,1,4,0
153000,3,4,1
154000,2,4,0
155000,3,4,1
