,Total.Loci. TAG,Total.Bases. TAG,Total.Loci.TTAGG,Total.Bases.TTAGG,Total.Loci.TCAGG,Total.Loci.TCAGG
Bactrocera tryoni,595,7869,197,3145,6,95
Belgica antarctica,200,2634,8,125,0,0
Bemisia tabaci,1002,17925,232,5135,6,100
Bicyclus anynana,9732,171600,284,6215,29,565
Blattella germanica,14700,332250,367,7505,4,65
Bombus impatiens,522,15276,21,345,0,0
Bombus terrestris,495,8799,16,260,0,0
Bombyx mori,2526,38790,78,3345,7,105
Calephelis nemesis,3632,52467,86,1370,24,385
Calephelis virginiensis,3180,45570,154,2925,288,465
Calopteryx splendens,3259,41754,42,640,14,210
Calycopis cecrops,8373,135525,124,2525,19,295
Camponotus floridanus,635,9639,167,19790,0,0
Catajapyx aquilonaris,1898,45846,113,2450,4,65
Cecidostiba fungosa,1485,23103,3,45,1,15
Cecidostiba semifascia,2171,36714,12,185,0,0
Cephus cinctus,453,7803,113,3950,1,15
Ceratina calcarata,394,6783,66,1350,0,0
Ceratitis capitata,1175,18057,81,1315,3,45
Ceratosolen solmsi,1891,87030,4,60,1,15
Chironomus riparius,1334,18024,4,60,0,0
Chironomus tentans,1496,20529,3,50,1,15
Cimex lectularius,1302,19245,99,1520,1,15
Clitarchus hookeri,3669,53913,282,5705,55,980
Clunio marinus,613,8562,1,15,1,15
Coboldia fuscipes,630,8670,0,0,0,0
Copidosoma floridanum,11874,420030,2,30,0,0
Cotesia vestalis,1389,27876,4,60,1,15
Cryptotermes secundus,7712,159093,496,9270,38,700
Culex quinquefasciatus,1384,18594,58,5050,9,135
Culicoides sonorensis,2722,36894,52,825,0,0
Cyphomyrmex costatus,504,7641,15,235,0,0
Dendroctonus ponderosae,458,6552,4,65,5,75
Diabrotica virgifera,8560,135369,197,3115,8,130
Diachasma alloeum,752,22770,2,30,2,30
Dinoponera quadriceps,632,9372,18,550,1,15
Drosophila americana,657,10056,11,210,6,105
Drosophila ananassae,657,9174,158,2835,9,155
Drosophila arizonae,1091,16620,10,150,8,120
Drosophila biarmipes,571,7488,18,275,4,65
Drosophila bipectinata,611,8613,54,850,6,105
Drosophila busckii,799,11985,20,315,10,190
Drosophila elegans,626,9627,30,500,8,140
Drosophila erecta,510,7179,38,615,5,100
Drosophila eugracilis,976,14244,22,355,8,120
Drosophila ficusphila,559,7686,22,350,7,110
Drosophila grimshawi,1192,17838,36,595,11,180
Drosophila hydei,992,15114,8,130,2,30
Drosophila kikkawai,903,13305,48,765,7,110
Drosophila melanogaster,725,10344,34,560,4,60
Drosophila miranda,950,14004,77,1240,27,515
Drosophila mojavensis,1360,20991,11,180,11,170
Drosaphila mojavensis1,1360,20991,11,180,11,170
Drosophila montana,725,10587,19,330,5,85
Drosophila nasuta,1047,15153,7,130,8,120
Drosophila novamexicana,645,10014,13,210,5,85
Drosophila obscura,1187,17154,101,1615,36,580
Drosophila persimilis,945,13662,99,1610,27,480
Drosophila pseudoobscura,955,14001,78,1260,37,610
Drosophila rhopaloa,653,9105,54,970,9,150
Drosophila sechellia,664,9039,31,475,5,80
Drosophila serrata,1338,28284,37,620,13,195
Drosophila simulans,635,8760,30,460,4,65
Drosophila subobscura,879,12705,24,385,19,305
Drosophila suzukii,844,12285,165,2855,4,60
Drosophila takahashii,781,10788,53,890,2,30
Drosophila virilis,688,10605,17,295,6,95
Drosophila willistoni,3014,45633,15,235,11,165
Drosophila yakuba,684,9699,52,1145,8,140
Dufourea novaeangliae,358,6096,4,60,1,15
Ephemera danica,778,10596,6,205,1,15
Ephydra gracilis,533,7332,4,60,1,15
Eufriesea mexicana,661,11562,6064,98045,3309,59700
Euglossa Dilemma,594,10464,40,655,2,30
Eupelmus annulatus,546,7776,5,75,3,45
Eupelmus urozonus,618,8742,28,420,1,15
