,model,results.bp.Mbp,aic,par1,par1,par1,model,results.twomers,aic,par1,par1,par1,model,results.threemers,aic,par1,par1,par1,model,results.fourmers,aic,par1,par1,par1,model,results.fivemers,aic,par1,par1,par1,model,results.sixmers,aic,par1,par1,par1,model,results.totalmers,aic,par1,par1,par1
1,BM,trees,3745.907359,68264.65236,304.664074,-1870.923529,BM,trees,6123.243686,8818689316,1405539.803,-3059.591692,BM,trees,5933.680932,3450239461,1550643.106,-2964.810315,BM,trees,5943.386538,3620063011,1554938.244,-2969.663118,BM,trees,5638.711679,801075500.4,390900.5046,-2817.325689,BM,trees,5400.204465,245974176.3,132427.345,-2698.072082,BM,trees,6419.777079,38277427443,5034449.003,-3207.858389
2,OU,trees,3502.692218,0.255674594,987703.1461,606.4347966,OU,trees,6119.983744,0.002787591,11496266273,1276709.315,OU,trees,5935.741842,5.87E-217,3450240103,1550643.106,OU,trees,5945.447449,1.22E-16,3620062658,1554938.244,OU,trees,5631.094609,0.004999834,1256530784,311145.2615,OU,trees,5385.815675,0.006198304,413519689.1,128519.8117,OU,trees,6421.83799,4.50E-15,38277429013,5034449.003
3,EB,trees,3747.977077,-1.00E-06,68289.71134,304.6586409,EB,trees,6125.306522,-1.00E-06,8821626957,1405560.704,EB,trees,5932.647126,-0.002894227,8627437830,1647055.696,EB,trees,5942.991209,-0.003149641,9855121451,1641004.781,EB,trees,5640.774833,-1.00E-06,801343684.8,390906.9598,EB,trees,5402.268211,-1.00E-06,246057191.6,132427.7304,EB,trees,6421.835643,-0.000101344,39552233402,5044290.375
4,lambda,trees,3507.759492,0.009982395,5224.008552,598.2021477,lambda,trees,6125.304597,1,8818683630,1405539.803,lambda,trees,5935.741842,1,3450237716,1550643.106,lambda,trees,5945.447449,1,3620060325,1554938.244,lambda,trees,5640.77259,1,801075009.8,390900.5046,lambda,trees,5402.265373,0.999989891,245944773.5,132427.2258,lambda,trees,6421.83799,1,38277433740,5034449.003
5,kappa,trees,3595.546192,1.00E-217,1187127.58,190.637532,kappa,trees,6125.304597,1,8818683630,1405539.803,kappa,trees,5935.741842,1,3450237716,1550643.106,kappa,trees,5945.447449,1,3620060325,1554938.244,kappa,trees,5640.77259,1,801075009.8,390900.5046,kappa,trees,5400.851428,0.826653929,465600622.8,133133.7899,kappa,trees,6421.83799,1,38277402275,5034449.003
6,delta,trees,3694.84978,2.999999,24354.69312,372.3150736,delta,trees,6119.120952,2.44038536,4484400608,1175861.285,delta,trees,5930.518771,0.357238302,8257592413,1637767.895,delta,trees,5943.681588,0.536444203,6100983884,1631350.429,delta,trees,5630.906436,2.999999,354039492.8,297484.6418,delta,trees,5385.923922,2.999999,105279999.1,126853.1126,delta,trees,6421.822128,0.947924966,39978096706,5072219.762
7,white,trees,3505.766309,1977415.373,625.1672485,-1750.853004,white,trees,6217.398056,1.33669E+12,1063923.921,-3106.668877,white,trees,6058.013508,6.07239E+11,738956.4653,-3026.976603,white,trees,6086.753671,7.00084E+11,845741.8218,-3041.346685,white,trees,5675.661047,91477087784,248903.9604,-2835.800373,white,trees,5469.169501,32912519564,152090.3168,-2732.5546,white,trees,6519.852898,5.9745E+12,3049616.485,-3257.896298
