"","x"
"1",2305689794819.96
"2",2105793951962.67
"3",3287460985313.07
"4",2227787855888
"5",3021450818528.89
"6",1336592659736.27
"7",2277171935832.85
"8",6134964949485.36
"9",2541993936656.69
"10",2577453713257.35
"11",4353688701203.87
"12",1224718273472.07
"13",2145427210851.28
"14",2734101302869.46
"15",2539458260608.25
"16",1803105468331.9
"17",1999084717143.43
"18",1543017938545.91
"19",1893843919804.94
"20",1886429492182.55
"21",2018861101076.17
"22",2850985107124.66
"23",1339780974750.74
"24",1212765895137
"25",1634719230093.73
"26",4460625585063.95
"27",1408086862635.22
"28",1400017604605.38
"29",2505129620034.25
"30",1338613769474.38
"31",1465734207861.34
"32",2835894166398.26
"33",2442720572185.44
"34",2087410833775.42
"35",2161195687714.62
"36",1085411046553.13
"37",2013103671424.15
"38",1561232935794.1
"39",2242831167048.96
"40",1807833191257.68
"41",1761782736682.53
"42",2905693969067.55
"43",1060823251838.47
"44",1357381938135.47
"45",1067308705887.16
"46",1590914226798.53
"47",2527024355974.91
"48",1669647637446.9
"49",4650833692673.2
"50",1820176096162.42
"51",2048988963770.5
"52",1483923477362.93
"53",1622908173579.77
"54",922083630229.326
"55",2602222518720.15
"56",2593278087744.58
"57",1975613127613.05
"58",2391550911992.51
"59",2117894822229.76
"60",3146350016144.43
"61",1864678382700.7
"62",1429736682949.44
"63",3470785374443.39
"64",1417901585189.23
"65",2534210763162.97
"66",1488636457467.38
"67",2159287730153.66
"68",1796394146230.46
"69",1595900686492.16
"70",831421471014.854
"71",2814370680961.92
"72",3305393954247.94
"73",1542432986716.9
"74",2245713739749.14
"75",2026904103452.99
"76",2152161936261.5
"77",3675762872105.78
"78",1424340428849.22
"79",1353683293795.97
"80",2348802084549.96
"81",2503054721634.55
"82",3169471124571.13
"83",1962500397058.13
"84",947193250441.877
"85",1477642155654.09
"86",2258926831640.17
"87",1570335417491.86
"88",1812610772615.43
"89",2337103722747.74
"90",372200348960.904
"91",2247199341145.7
"92",2817406406807.05
"93",2606110361777.23
"94",2807863409612.36
"95",3140244776624.51
"96",1560067433264.82
"97",2197544131005.48
"98",2315392186431.22
"99",2411100737113.53
"100",2355317415596.4
