generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,1,3,0
3000,2,4,0
4000,1,2,1
5000,1,4,0
6000,1,4,0
7000,2,3,1
8000,2,4,0
9000,1,2,0
10000,2,3,1
11000,2,3,0
12000,3,4,0
13000,2,3,0
14000,1,3,0
15000,1,3,0
16000,3,4,0
17000,1,4,0
18000,1,2,0
19000,1,4,0
20000,3,4,0
21000,1,3,0
22000,1,4,0
23000,3,4,0
24000,2,4,0
25000,1,4,0
26000,2,4,0
27000,1,4,0
28000,2,4,0
29000,3,4,0
30000,3,4,0
31000,1,2,0
32000,1,3,0
33000,1,2,0
34000,2,4,0
35000,1,2,0
36000,1,2,0
37000,1,2,0
38000,3,4,0
39000,2,4,0
40000,3,4,0
41000,1,2,0
42000,1,2,0
43000,1,3,0
44000,3,4,0
45000,2,4,0
46000,1,3,0
47000,1,3,0
48000,1,2,0
49000,2,3,0
50000,2,3,0
51000,1,3,0
52000,1,4,0
53000,2,3,0
54000,1,4,0
55000,1,2,1
56000,2,4,0
57000,3,4,1
58000,3,4,1
59000,2,3,0
60000,1,2,1
61000,2,4,0
62000,1,4,0
63000,3,4,0
64000,1,4,0
65000,1,3,0
66000,2,3,0
67000,2,3,0
68000,2,4,0
69000,2,3,0
70000,2,4,0
71000,1,4,0
72000,2,4,0
73000,1,3,0
74000,3,4,0
75000,1,2,0
76000,2,3,0
77000,3,4,0
78000,1,3,0
79000,1,2,0
80000,1,2,1
81000,3,4,0
82000,1,3,0
83000,2,3,0
84000,1,2,0
85000,2,3,1
86000,3,4,0
87000,2,4,0
88000,2,4,0
89000,3,4,0
90000,3,4,0
91000,1,4,0
92000,1,2,1
93000,1,4,0
94000,1,3,0
95000,3,4,0
96000,1,2,1
97000,3,4,0
98000,1,2,0
99000,1,2,0
100000,1,3,1
101000,1,3,1
102000,1,2,0
103000,2,3,1
104000,1,3,0
105000,2,3,1
106000,2,4,0
107000,3,4,0
108000,2,3,1
109000,1,4,0
110000,1,2,0
111000,2,4,0
112000,1,4,0
113000,1,2,0
114000,2,4,0
115000,1,3,0
116000,3,4,1
117000,2,3,0
118000,1,3,0
119000,1,4,0
120000,2,4,0
121000,2,4,0
122000,2,4,0
123000,3,4,1
124000,1,3,0
125000,2,4,0
126000,1,2,1
127000,2,4,0
128000,2,4,0
129000,1,4,0
130000,1,3,0
131000,1,3,0
132000,2,3,0
133000,2,3,0
134000,2,3,0
135000,2,3,0
136000,1,3,0
137000,3,4,0
138000,2,3,0
139000,1,3,0
140000,3,4,1
141000,1,4,0
142000,3,4,1
143000,3,4,0
144000,1,3,0
145000,2,3,0
146000,2,4,0
147000,2,3,0
148000,2,4,0
149000,2,3,0
150000,1,4,0
151000,3,4,0
152000,1,2,1
153000,1,3,0
154000,2,4,0
155000,2,4,0
156000,3,4,0
157000,1,4,0
158000,1,2,1
159000,1,3,0
160000,1,4,0
161000,2,4,0
162000,1,4,0
163000,2,4,0
164000,3,4,0
165000,1,3,0
166000,2,3,0
167000,2,4,0
168000,1,2,0
169000,2,3,0
170000,2,4,0
171000,1,4,0
172000,2,4,0
173000,2,3,1
174000,1,2,0
175000,3,4,1
176000,2,4,0
177000,3,4,1
178000,2,4,0
179000,2,4,0
180000,2,3,0
181000,2,4,0
182000,1,4,0
183000,2,4,0
184000,3,4,0
185000,2,4,0
186000,1,3,0
187000,1,3,0
188000,2,3,0
189000,2,3,0
190000,3,4,0
191000,2,3,0
192000,1,3,0
193000,1,4,0
194000,2,3,0
195000,3,4,1
196000,3,4,1
197000,2,3,1
198000,2,3,1
199000,2,4,0
200000,2,3,1
201000,1,4,0
202000,1,3,0
203000,2,3,1
204000,1,3,0
205000,1,3,0
206000,3,4,0
207000,1,2,0
208000,1,2,0
209000,1,2,1
210000,3,4,0
211000,1,3,1
212000,3,4,0
213000,1,3,0
214000,1,4,0
215000,2,4,0
216000,1,3,0
217000,2,4,0
218000,3,4,0
219000,2,4,0
220000,1,2,0
221000,1,2,1
222000,2,3,0
223000,1,2,1
224000,1,4,0
225000,2,4,0
226000,1,3,0
227000,2,3,1
228000,2,4,0
229000,1,4,0
230000,2,4,0
231000,1,3,0
232000,2,3,1
233000,2,3,0
234000,1,4,0
235000,1,2,0
236000,1,4,0
237000,1,4,0
238000,1,4,0
239000,1,3,0
240000,1,3,0
241000,1,3,0
242000,1,3,0
243000,1,4,0
244000,2,3,0
245000,1,2,0
246000,1,2,0
247000,1,4,0
248000,2,4,0
249000,1,3,0
250000,1,4,0
251000,2,3,1
252000,3,4,0
253000,1,2,0
254000,3,4,0
255000,1,2,0
256000,2,4,0
257000,1,4,0
258000,2,3,0
259000,1,3,0
260000,2,4,0
261000,1,2,0
262000,1,4,0
263000,2,4,0
264000,1,2,1
265000,2,4,0
266000,3,4,0
267000,2,3,1
268000,1,2,0
269000,1,2,1
270000,1,4,0
271000,1,4,0
272000,1,2,0
273000,1,2,0
274000,2,4,0
275000,2,3,1
276000,1,2,1
277000,1,3,1
278000,2,4,0
279000,3,4,0
280000,3,4,1
281000,1,4,0
282000,1,4,0
283000,1,3,0
284000,1,2,0
285000,2,3,1
286000,3,4,1
287000,2,4,0
288000,1,2,0
289000,2,3,1
290000,1,3,0
291000,1,2,1
292000,2,3,0
293000,2,3,0
294000,2,4,0
295000,1,3,0
296000,1,2,1
297000,1,3,0
298000,2,4,0
299000,2,3,0
300000,2,4,0
301000,2,4,0
302000,3,4,0
303000,1,3,0
304000,1,3,0
305000,1,2,1
306000,2,4,0
307000,2,3,0
308000,3,4,0
309000,2,3,0
310000,3,4,1
311000,1,2,1
312000,3,4,1
313000,2,3,1
314000,1,4,0
315000,1,2,1
316000,1,2,1
317000,2,3,1
318000,1,4,0
319000,1,2,1
320000,1,3,0
321000,2,4,0
322000,1,3,0
323000,2,4,0
324000,2,3,0
325000,2,4,0
326000,1,2,0
327000,2,4,0
328000,3,4,0
329000,3,4,1
330000,1,3,0
331000,2,4,0
332000,1,2,0
333000,2,3,0
334000,2,4,0
335000,1,2,0
336000,1,3,0
337000,1,3,0
338000,2,4,0
339000,1,4,0
340000,1,3,0
341000,3,4,1
342000,1,2,0
343000,2,4,0
344000,3,4,0
345000,2,4,0
346000,1,4,0
347000,1,3,0
348000,2,3,0
349000,2,3,0
350000,2,3,1
351000,3,4,0
352000,3,4,0
353000,1,2,0
354000,1,3,0
355000,1,2,0
356000,2,3,1
357000,2,4,0
358000,2,4,0
359000,1,4,0
360000,3,4,1
361000,1,3,0
362000,1,3,0
363000,2,4,0
364000,2,3,1
365000,2,4,0
366000,2,4,0
367000,1,3,0
368000,3,4,0
369000,2,3,0
370000,2,4,0
371000,2,4,0
372000,1,4,0
373000,1,4,0
374000,1,4,0
375000,2,3,1
376000,2,3,1
377000,1,2,0
378000,3,4,0
379000,1,2,0
380000,2,4,0
381000,2,4,0
382000,1,3,0
383000,1,4,0
384000,1,4,0
385000,1,3,0
386000,2,3,1
387000,3,4,0
388000,1,2,0
389000,1,2,0
390000,2,4,0
391000,1,2,1
392000,1,3,1
393000,1,3,1
394000,2,4,0
395000,1,2,1
396000,1,3,0
397000,1,2,1
398000,2,4,0
399000,1,3,0
400000,2,3,0
401000,3,4,0
402000,1,3,0
403000,1,4,0
404000,2,3,0
405000,2,4,0
406000,2,4,0
407000,1,4,0
408000,1,2,1
409000,2,4,0
410000,3,4,0
411000,1,2,0
412000,2,4,0
413000,1,2,0
414000,1,4,0
415000,3,4,0
416000,1,3,0
417000,1,3,0
418000,2,4,0
419000,1,4,0
420000,1,3,0
421000,3,4,0
422000,1,4,0
423000,2,4,0
424000,1,4,0
425000,1,4,0
426000,1,2,0
427000,3,4,0
428000,1,4,0
429000,1,2,0
430000,1,2,0
431000,1,2,0
432000,1,2,0
433000,3,4,0
434000,2,3,1
435000,1,4,0
436000,3,4,0
437000,1,4,0
438000,2,4,0
439000,1,4,0
440000,3,4,0
441000,3,4,0
442000,1,4,0
443000,3,4,0
444000,2,3,1
445000,1,3,0
446000,1,4,0
447000,1,2,0
448000,3,4,1
449000,2,3,0
450000,1,3,0
451000,2,3,0
452000,2,3,1
453000,1,2,0
454000,2,3,1
455000,1,2,1
456000,2,4,0
457000,2,3,0
458000,1,3,0
459000,2,3,0
460000,2,3,0
461000,1,4,0
462000,2,3,0
463000,1,3,0
464000,1,4,0
465000,2,4,0
466000,1,3,0
467000,1,3,1
468000,1,2,1
469000,1,2,0
470000,1,3,0
471000,1,2,0
472000,3,4,0
473000,2,3,1
474000,1,2,1
475000,1,4,0
476000,1,2,1
477000,3,4,0
478000,1,4,0
479000,3,4,1
480000,1,2,0
481000,1,4,0
482000,1,2,0
483000,1,3,0
484000,3,4,0
485000,1,3,0
486000,1,3,0
487000,3,4,0
488000,2,3,0
489000,1,3,0
490000,3,4,0
491000,1,2,0
492000,2,3,0
493000,1,4,0
494000,3,4,0
495000,1,3,0
496000,2,4,0
497000,2,4,0
498000,1,2,0
499000,2,4,0
500000,2,4,0
501000,2,4,0
502000,1,4,0
503000,1,4,0
504000,1,4,0
505000,1,3,0
506000,2,4,0
507000,2,4,0
508000,1,3,0
509000,1,2,1
510000,1,3,0
511000,2,3,0
512000,1,2,1
513000,1,2,1
514000,1,3,0
515000,2,3,0
516000,3,4,1
517000,2,4,0
518000,3,4,1
519000,1,3,0
520000,2,3,0
521000,3,4,0
522000,3,4,0
523000,1,3,0
524000,1,3,0
525000,2,3,0
526000,1,2,1
527000,1,4,0
528000,1,4,0
529000,2,4,0
530000,2,3,1
531000,1,2,0
532000,2,3,1
533000,2,4,0
534000,2,4,0
535000,2,4,0
536000,1,4,0
537000,1,2,0
538000,1,3,0
539000,1,4,0
540000,2,4,0
541000,1,3,0
542000,1,2,0
543000,1,4,0
544000,1,2,1
545000,2,3,0
546000,1,2,1
547000,1,2,1
548000,2,3,0
549000,3,4,0
550000,2,4,0
551000,2,4,0
552000,1,4,0
553000,1,3,0
554000,2,3,1
555000,3,4,0
556000,2,3,1
557000,2,4,0
558000,2,3,0
559000,1,4,0
560000,3,4,0
561000,1,2,1
562000,2,3,0
563000,3,4,0
564000,1,4,0
565000,3,4,0
566000,2,3,0
567000,1,2,1
568000,3,4,0
569000,2,3,0
570000,3,4,0
571000,1,2,0
572000,1,3,0
573000,2,3,0
574000,1,2,1
575000,1,4,0
576000,2,3,1
577000,2,3,1
578000,1,3,0
579000,3,4,0
580000,2,4,0
581000,2,4,0
582000,1,3,0
583000,1,4,0
584000,1,2,1
585000,1,4,0
586000,1,3,0
587000,1,4,0
588000,1,3,0
589000,1,3,0
590000,2,3,1
591000,1,4,0
592000,1,4,0
593000,3,4,0
594000,3,4,0
595000,1,4,0
596000,2,3,1
597000,1,4,0
598000,2,4,0
599000,2,4,0
600000,1,2,0
601000,2,4,0
602000,3,4,0
603000,1,2,1
604000,1,2,1
605000,1,2,0
606000,1,4,0
607000,2,4,0
608000,3,4,0
609000,2,3,0
610000,3,4,0
611000,1,2,1
612000,1,2,0
613000,1,4,0
614000,1,2,0
615000,2,3,0
616000,3,4,0
617000,3,4,0
618000,3,4,0
619000,1,2,0
620000,2,4,0
621000,2,3,0
622000,1,2,1
623000,2,4,0
624000,2,4,0
625000,1,3,1
626000,1,3,0
627000,3,4,0
628000,2,4,0
629000,2,3,0
630000,2,4,0
631000,2,4,0
632000,1,2,1
633000,2,4,0
634000,1,4,0
635000,2,4,0
636000,1,3,0
637000,3,4,0
638000,1,2,1
639000,3,4,0
640000,3,4,0
641000,3,4,0
642000,1,2,1
643000,1,3,1
644000,1,4,0
645000,1,2,0
646000,1,3,0
647000,1,2,0
648000,1,2,0
649000,2,4,0
650000,3,4,0
651000,2,3,1
652000,1,4,0
653000,2,3,0
654000,3,4,0
655000,3,4,1
656000,1,3,0
657000,2,4,0
658000,1,2,1
659000,2,3,1
660000,2,4,1
661000,1,4,0
662000,1,2,0
663000,1,2,1
664000,1,3,0
665000,1,4,0
666000,3,4,0
667000,3,4,1
668000,2,4,0
669000,1,2,1
670000,1,4,0
671000,1,3,0
672000,1,2,0
673000,2,4,0
674000,1,4,0
675000,2,4,0
676000,1,4,0
677000,1,4,0
678000,2,3,0
679000,1,4,0
680000,1,3,0
681000,1,2,0
682000,1,3,0
683000,1,4,0
684000,2,4,0
685000,2,4,0
686000,1,3,0
687000,2,3,0
688000,2,3,1
689000,2,3,1
690000,1,2,0
691000,1,4,0
692000,2,4,1
693000,1,3,0
694000,2,4,0
695000,1,2,0
696000,1,4,0
697000,1,4,0
698000,3,4,0
699000,2,3,1
700000,1,4,0
701000,1,2,0
702000,2,3,1
703000,3,4,0
704000,1,3,0
705000,2,3,0
706000,3,4,0
707000,1,4,0
708000,2,4,0
709000,1,3,0
710000,2,4,0
711000,2,4,0
712000,1,3,0
713000,1,2,1
714000,1,4,0
715000,1,4,0
716000,2,3,0
717000,3,4,0
718000,2,4,0
719000,1,4,0
720000,2,3,0
721000,2,3,0
722000,1,2,1
723000,1,2,1
724000,1,2,1
725000,2,4,0
726000,3,4,1
727000,1,3,0
728000,2,4,0
729000,1,2,0
730000,2,3,1
731000,1,4,0
732000,2,4,0
733000,3,4,1
734000,1,2,0
735000,2,3,0
736000,2,4,0
737000,1,2,1
738000,1,4,0
739000,2,4,0
740000,1,2,1
741000,3,4,1
742000,2,4,0
743000,3,4,0
744000,1,2,0
745000,1,2,0
746000,1,2,1
747000,2,3,1
748000,2,3,1
749000,1,2,1
750000,2,4,0
751000,3,4,0
752000,2,3,1
753000,3,4,1
754000,3,4,1
755000,1,3,0
756000,1,3,0
757000,3,4,1
758000,1,2,1
759000,1,3,0
760000,3,4,1
761000,2,4,0
762000,2,4,0
763000,1,3,0
764000,1,2,1
