species,all,gsz,diploid.num
Achalarus lyciades,3096095,566834491,
Acromyrmex echinatior,2840746,295944863,
Acyrthosiphon pisum,4766551,541675471,
Aedes aegypti,4271715,1383974186,
Aedes albopictus,14776332,2247306217,
Aethina tumida,1662574,234344249,
Agrilus planipennis,967672,353562607,
Aleochara bilineata,836973,85899700,
Amyelois transitella,3219089,406468287,
Anopheles aquasalis,2585695,246567867,
Anopheles arabiensis,2796982,224290125,
Anopheles atroparvus,1200238,224417174,
Anopheles coluzzii,2565830,202998806,
Anopheles cracens,2728122,136950925,
Anopheles culicifacies,1141509,216307690,
Anopheles darlingi,2790199,223486714,
Anopheles dirus,2138546,183103254,
Anopheles epiroticus,1636753,225223604,
Anopheles farauti,1585849,273109044,
Anopheles funestus,1208315,151110088,
Anopheles gambiae,3309552,462688933,
Anopheles koliensis,1234732,201793324,
Anopheles maculatus,4148459,283828998,
Anopheles minimus,1004379,707712193,
Anopheles quadriannulatus,2824265,310333780,
Anopheles sinensis,1109650,382861007,
Anopheles stephensi,2198791,346134187,
Anoplophora glabripennis,1973740,342642954,
Aphaenogaster ashmeadi,2198976,395412201,
Aphaenogaster floridana,2364776,228331812,
Aphaenogaster fulva,2015075,230340171,
Aphaenogaster miamiana,2236044,230485475,
Aphaenogaster picea,2171329,250270657,
Aphaenogaster rudis,2235862,163837890,
Apis cerana,2739884,317690795,
Apis dorsata,3364273,291257934,
Apis florea,3830580,414984608,
Apis mellifera,4075772,462505359,
Athalia rosae,1507469,471780370,
Atta cephalotes,4437346,519005690,
Atta colombica,3330270,89583723,
Bactrocera dorsalis,2251355,475399557,
Bactrocera latifrons,2712517,2037297555,
Bactrocera oleae,2985909,249185056,
Bactrocera tryoni,2723218,248654244,
Belgica antarctica,171875,481803763,
Bicyclus anynana,3799124,284009182,
Blattella germanica,19029642,185537488,
Bombus impatiens,1662319,287222439,
Bombus terrestris,1250427,162245578,
Bombyx mori,2521830,199936949,
Calopteryx splendens,6721365,154533842,
Camponotus floridanus,3896640,510848842,
Cecidostiba fungosa,2640787,98759061,
Cecidostiba semifascia,4431504,553956141,
Cephus cinctus,1232237,186103588,
Ceratina calcarata,864848,1018932804,
Ceratitis capitata,6957603,579057705,
Ceratosolen solmsi,7042283,300316566,
Chironomus riparius,634901,248577651,
Chironomus tentans,766808,252847629,
Cimex lectularius,4515376,2409977489,
Clunio marinus,374577,259665865,
Coboldia fuscipes,362818,230993012,
Copidosoma floridanum,4509944,141386800,
Cotesia vestalis,2251112,169378599,
Cryptotermes secundus,6125768,167263958,
Culex quinquefasciatus,3180193,135748557,
Cyphomyrmex costatus,2494067,152712140,
Danaus plexippus,1381416,156942009,
Dendroctonus ponderosae,398960,152439475,
Diabrotica virgifera,8222285,200467819,
Diachasma alloeum,1444341,139940643,
Dinoponera quadriceps,3475793,164292578,
Drosophila ananassae,1497866,136728780,
Drosophila arizonae,3663012,193826310,
Drosophila biarmipes,947966,183585048,
Drosophila bipectinata,1166588,137224182,
Drosophila busckii,3456467,182212895,
Drosophila elegans,1383030,181868570,
Drosophila erecta,1072698,188374079,
Drosophila eugracilis,1548957,152696192,
Drosophila ficusphila,1220503,166577145,
Drosophila grimshawi,4102629,198035861,
Drosophila hydei,3262524,124963774,
Drosophila kikkawai,1701607,117291146,
Drosophila melanogaster,1194304,232923092,
Drosophila miranda,2510199,182106768,
Drosophila mojavensis,4810295,206026697,
Drosophila montana,2965676,235516348,
Drosophila nasuta,2205819,165693946,
Drosophila novamexicana,3601359,279505983,
Drosophila obscura,3508626,474347418,
Drosophila persimilis,2776104,596278454,
Drosophila pseudoobscura,2596806,314961079,
Drosophila sechellia,1119354,304570832,
Drosophila serrata,2406205,153631861,
Drosophila simulans,955949,578456222,
Drosophila subobscura,2181621,994443371,
Drosophila suzukii,1288241,370264922,
Drosophila takahashii,1285797,315360362,
Drosophila virilis,3838835,374774708,
Drosophila willistoni,3790042,366195856,
Drosophila yakuba,1237873,357332231,
Dufourea novaeangliae,1084358,380104241,
Ephemera danica,3687483,296954667,
Eufriesea mexicana,4071166,334536844,
Eupelmus annulatus,2786837,337087553,
Eupelmus urozonus,3414581,432318525,
Ferrisia virgata,1967295,341147348,
Fopius arisanus,483048,151272366,
Galleria mellonella,7090330,336521443,
Gerris buenoi,5893256,236236391,
Glossina austeni,5400070,333080613,
Glossina brevipalpis,4561529,641992784,
Glossina fuscipes,4925924,283869132,
Glossina morsitans,4522080,255343917,
Glossina pallidipes,4221721,219500750,
Glossina palpalis,4625284,434128924,
Habropoda laboriosa,1535349,127916415,
Halyomorpha halys,5505083,419424057,
Harpergnathos saltator,8912192,185827756,
Heliconius melpomene,1462185,272660569,
Helicoverpa armigera,1067773,589959111,
Helicoverpa punctigera,1754090,577887951,
helicoverpa zea,1149422,300271876,
Hypothenemus hampei,345553,256302695,
Ladona fulva,2226401,195273382,
Lasioglossum albipes,1598183,241190213,
Lasius niger,2709990,257976923,
Lepidotrigona ventralis,3712708,750403944,
Leptinotarsa decemlineata,1723150,283606953,
Leptopilina boulardi,4038187,285726340,
Leptopilina clavipes,2584901,295780872,
Linepithema humile,1603571,1099611736,
Lucilia cuprina,4415685,212825769,
Maconellicoccus hirsutus,463407,638207720,
Macrocentrus cingulum,633457,259885974,
Manduca sexta,1694793,266814119,
