species,all,gsz,diploid.num
Mayetiola destructor,1858493,186398216,
Megachile rotundata,898996,374815656,
Megastigmus dorsalis,9136355,278436446,
Megastigmus stigmatizans,9397002,227021014,
Melanaphis sacchari,3268445,243890167,
Melipona quadrifasciata,2588770,191208351,
Microplitis demolitor,3118203,422395093,
Monomorium pharaonis,3016430,549932840,
Musca domestica,4792923,382235502,
Myzus persicae,3614811,235645958,
Nasonia giraulti,2342070,280876046,
Nasonia longicornis,2260240,211202212,
Nasonia vitripennis,4186728,208026220,
Neodiprion lecontei,1847079,284990201,
Nicrophorus vespilloides,1588584,282776121,
Oncopeltus fasciatus,13791299,706824083,
Ooceraea biroi,1471439,385232317,
Operophtera brumata,7493316,353179758,
Ormyrus nitidulus,2664165,651856124,
Ormyrus pomaceus,3013080,396024718,
Orussus abietinus,532629,514225903,
Papilio glaucus,1618780,971188624,
Papilio machaon,1378108,235334141,
papilio polytes,1006647,621706043,
Papilio xuthus,1183574,303539295,
Paracoccus marginatus,942823,955490247,
Paykullia maculata,3836899,172235699,
Phoebis sennae,1745576,291747019,
Phormia regina,5316006,267973152,
Plodia interpunctella,2581349,368211209,
Pogomyrmex barbatus,3369807,357124929,
Pogonus chalceus,1606914,287900827,
Polistes canadensis,6550663,324120201,
Polistes dominula,7649232,123674749,
Pseudococcus longispinus,797732,485009472,
Pseudomyrmex gracilis,3749643,2.82E+08,
Rhagoletis zephyria,9647077,1.11E+09,
Rhodnius prolixus,3360686,7.06E+08,
Scaptodrosophila lebanonesis,3996506,2.47E+08,
Schizaphis graminum,3897710,3.85E+08,
Sipha flava,3476541,3.53E+08,
Sitophilus oryzae,2883429,6.51E+08,
Solenopsis invicta,3298067,3.96E+08,
Spodoptera frugiperda,2766956,5.14E+08,
Spodoptera litura,2245253,4.38E+08,
Stomoxys calcitrans,4803933,9.71E+08,
Synergus umbraculus,1034107,2.35E+08,
Teleopsis dalmanni,5648667,6.21E+08,
Temnothorax curvispinosus,2459541,3.03E+08,
Trabutina mannipara,901251,1.72E+08,
Trachymyrmex cornetzi,2558523,3.69E+08,
Trachymyrmex septentrionalis,3129472,2.91E+08,
Trachymyrmex zeteki,2015170,2.67E+08,
Tribolium castaneum,690580,1.65E+08,
Trichogramma pretiosum,2962173,1.87E+08,
Trichoplusia ni,1459621,3.68E+08,
Vanessa tameamea,2003744,3.57E+08,
Vollenhovia emeryi,2017418,2.87E+08,
Wasmannia auropunctata,3201081,3.24E+08,
Zaprionus indianus,2200284,1.23E+08,
Zeugodacus cucurbitae,3121128,3.74E+08,
Zootermopsis nevadensis,2167721,4.85E+08,
