"","x"
"1",1651146703803.5
"2",1128779748314.41
"3",984040675349.711
"4",955077155061.917
"5",579932620853.286
"6",561295465085.089
"7",1189662615070.02
"8",2612193794504.89
"9",1216610940082.22
"10",986571772885.646
"11",1587632690233.44
"12",673280256129.714
"13",1299222502241.15
"14",1163033057775.67
"15",1223839575404.37
"16",1030055566175.79
"17",1045004878770.23
"18",730333373940.662
"19",986674658972.597
"20",944950920847.587
"21",1250095914027.9
"22",1350121827147.67
"23",785692556862.607
"24",667559234827.286
"25",687763577609.437
"26",1119807193583.9
"27",813469902121.24
"28",712108163339.093
"29",1499218960013.25
"30",609777928996.819
"31",690969862613.306
"32",1121676759295.31
"33",1215380372562.88
"34",1194818918382.74
"35",1208817782224.13
"36",616070647323.927
"37",1283950076215.71
"38",620789750488.491
"39",1336622443526.71
"40",849567426959.5
"41",998866051692.173
"42",1818834697150.52
"43",654658365285.658
"44",525816932343.318
"45",606339883954.558
"46",947762178212.276
"47",1432267374552.89
"48",900186648845.694
"49",1190466996540.93
"50",1176187381980.76
"51",1445396934936.36
"52",934307052606.234
"53",1021078251304.92
"54",521920367516.257
"55",1258024640675.15
"56",1868654358973.05
"57",750399038653.995
"58",1031834336371.22
"59",736141234984.353
"60",1640300756126.74
"61",1202869656927.74
"62",885884285305.616
"63",1580187477828.92
"64",1030406361594.34
"65",1562463416869.3
"66",880507880165.447
"67",1039047866965.34
"68",982647195414.658
"69",923604870478.505
"70",576853828058.846
"71",1063708328570.21
"72",1047611136991.8
"73",677958972437.055
"74",1193018820057.21
"75",1164877219495.07
"76",1210454080402.25
"77",2156834313824.63
"78",763809990775.103
"79",807555272523.953
"80",1288567478803.75
"81",742486115341.778
"82",1515094251928.33
"83",932229011312.474
"84",490108541085.621
"85",735158831150.582
"86",704473157871.713
"87",912772372562.149
"88",783936952076.204
"89",724135037390.572
"90",173539515509.603
"91",1217055621406.36
"92",2219471830571.98
"93",1400929278564.23
"94",1638389638838.36
"95",1516329264510.71
"96",971999139308.968
"97",1253122316663.36
"98",1479399034704.25
"99",1081428753684.16
"100",1423339345266.75
