"","x"
"1",0.000808387057018733
"2",2.96599034902868e-06
"3",4.41949474935977e-28
"4",5.81688510343502e-30
"5",0.00330088190563112
"6",3.29527981403631e-12
"7",0.526416953732657
"8",6.31070823497561e-44
"9",2.95791246820111e-05
"10",1.76638466716298e-50
"11",5.00069548570583e-23
"12",0.000493133504413878
"13",8.4739106115094e-12
"14",2.17645513791275e-46
"15",3.18101367446965e-19
"16",4.25484730774155e-07
"17",2.65466270462313e-29
"18",3.88753943741691e-08
"19",0.0665560356001238
"20",0.00104025586520097
"21",3.03291790983759e-07
"22",2.57417923376912e-84
"23",1.37651105500211e-22
"24",8.1820826508659e-17
"25",0.0535377353229346
"26",1.09189972705175e-09
"27",0.0162109056282536
"28",8.65891335578146e-07
"29",8.43648731324278e-39
"30",0.12975035661285
"31",1.33165120625427e-06
"32",3.18769188233764e-184
"33",2.46357769598228e-09
"34",1.14929251249331e-47
"35",0.0328461865283758
"36",0.0543409694792332
"37",4.06686996814847e-50
"38",2.62016912610866e-15
"39",3.72501027967667e-05
"40",0.00535820170740659
"41",2.20841989265308e-25
"42",8.79740955994217e-15
"43",9.93464518290174e-09
"44",4.17490065364869e-05
"45",1.02004566740259e-07
"46",1.00508027230442e-09
"47",7.6502221613659e-06
"48",0.00679866846937709
"49",1.31131365637095e-44
"50",0.0501452388274532
"51",2.34979841823531e-19
"52",6.30435956080556e-14
"53",4.51052578785925e-06
"54",7.50285681492264e-06
"55",9.46191863952976e-05
"56",3.06799318668296e-05
"57",1.27245472001971e-14
"58",0.000123958925823824
"59",0.000213941429740622
"60",1.3475006445012e-15
"61",3.73567120678359e-53
"62",0.0440517303563929
"63",1.52488343762126e-08
"64",3.24078777766918e-21
"65",3.36327634615866e-17
"66",3.14910404447764e-09
"67",8.24160983884183e-51
"68",0.00262821828305709
"69",1.55375228786326e-27
"70",5.38918362394323e-31
"71",1.76505505362419e-12
"72",2.48177256427732e-05
"73",1.93369478339816e-14
"74",2.21956753219515e-18
"75",0.00544558842286235
"76",8.47924598614234e-10
"77",6.11031364106913e-18
"78",5.18179170078536e-16
"79",5.05834208506988e-13
"80",7.06527689974631e-07
"81",7.68799112120891e-06
"82",1.88052232243599e-71
"83",2.62788472753695e-10
"84",1.84662115664055e-47
"85",0.0188390992862131
"86",1.06814340752032e-05
"87",6.12697329425857e-11
"88",4.23632191751132e-51
"89",9.81219774057694e-06
"90",7.65803855973051e-35
"91",3.19726063340705e-29
"92",8.77872409516267e-10
"93",5.63770379195556e-20
"94",4.48045271935722e-12
"95",6.46866211736215e-06
"96",2.77293626867033e-09
"97",4.79712344971462e-16
"98",0.000743599363455467
"99",0.00626431047892492
"100",6.95789401903082e-74
