"","x"
"1",0.415982039435827
"2",0.423521020116731
"3",0.737690820724451
"4",2.98607711022522e-28
"5",0.350799192341896
"6",0.00091097086259727
"7",0.807869493421443
"8",4.41112918352999e-47
"9",0.120217523733688
"10",3.42153482980303e-53
"11",0.279909875303772
"12",0.671855299313306
"13",3.50238387615639e-05
"14",5.48037960738528e-47
"15",0.0662597040592285
"16",0.570124491604416
"17",0.326236072414782
"18",0.0573948429297443
"19",0.523296626333401
"20",0.324616679834594
"21",0.0521663841506809
"22",2.51877199550278e-88
"23",6.37578985971638e-19
"24",0.626622330750836
"25",0.106611234024663
"26",0.043772864708541
"27",0.468881233905647
"28",0.13485430852447
"29",2.03201296274946e-35
"30",0.30269439668231
"31",0.103793077164876
"32",4.86326071894169e-188
"33",0.0175671788467119
"34",1.12165014814689e-49
"35",0.873835594245857
"36",0.498866359497175
"37",0.553756743682576
"38",0.000355541588680786
"39",0.315192792037339
"40",0.84291669087256
"41",0.72522186225738
"42",0.510039340545051
"43",0.00735529907697026
"44",0.251939834489784
"45",0.0939294565520396
"46",0.0386815464057444
"47",0.0731438066284806
"48",0.166128681706122
"49",0.620399784977075
"50",0.148249963181755
"51",5.3979812668556e-09
"52",0.0390966636609578
"53",0.12974841400429
"54",0.131637215316355
"55",0.446334451154282
"56",0.324382942359139
"57",0.640507992510446
"58",0.137715596525354
"59",0.797271983948396
"60",5.05581365341464e-05
"61",1.2420931659988e-56
"62",0.44256990691579
"63",0.305406201790093
"64",5.62762271890236e-11
"65",0.360917482786193
"66",0.562654476507189
"67",8.42825176611868e-50
"68",0.492680953352163
"69",0.331186408022259
"70",0.838331658800837
"71",0.0001524249006669
"72",0.254616884542611
"73",0.212346119422179
"74",0.607238629351481
"75",0.0305357205521684
"76",0.675579800279238
"77",0.494753999578596
"78",2.3800336930456e-05
"79",0.0277787086709485
"80",0.178702419264959
"81",0.643409345843619
"82",7.89874419298458e-72
"83",0.555861009305558
"84",1.59710338888105e-49
"85",0.186202997481174
"86",0.681673444040912
"87",0.000153586114596495
"88",1.35982180598057e-46
"89",0.605436030306787
"90",6.17676561733628e-09
"91",7.14559865678606e-14
"92",0.15852471475396
"93",0.399352856799765
"94",0.000373364862106207
"95",0.0306818924978754
"96",0.0123006018597413
"97",2.20375206755407e-10
"98",0.32239194596048
"99",0.52044774184322
"100",3.39465952618303e-76
