Type of Centromere,Rates
Holocentric,1.65E+12
Holocentric,1.13E+12
Holocentric,9.84E+11
Holocentric,9.55E+11
Holocentric,5.80E+11
Holocentric,5.61E+11
Holocentric,1.19E+12
Holocentric,2.61E+12
Holocentric,1.22E+12
Holocentric,9.87E+11
Holocentric,1.59E+12
Holocentric,6.73E+11
Holocentric,1.30E+12
Holocentric,1.16E+12
Holocentric,1.22E+12
Holocentric,1.03E+12
Holocentric,1.05E+12
Holocentric,7.30E+11
Holocentric,9.87E+11
Holocentric,9.45E+11
Holocentric,1.25E+12
Holocentric,1.35E+12
Holocentric,7.86E+11
Holocentric,6.68E+11
Holocentric,6.88E+11
Holocentric,1.12E+12
Holocentric,8.13E+11
Holocentric,7.12E+11
Holocentric,1.50E+12
Holocentric,6.10E+11
Holocentric,6.91E+11
Holocentric,1.12E+12
Holocentric,1.22E+12
Holocentric,1.19E+12
Holocentric,1.21E+12
Holocentric,6.16E+11
Holocentric,1.28E+12
Holocentric,6.21E+11
Holocentric,1.34E+12
Holocentric,8.50E+11
Holocentric,9.99E+11
Holocentric,1.82E+12
Holocentric,6.55E+11
Holocentric,5.26E+11
Holocentric,6.06E+11
Holocentric,9.48E+11
Holocentric,1.43E+12
Holocentric,9.00E+11
Holocentric,1.19E+12
Holocentric,1.18E+12
Holocentric,1.45E+12
Holocentric,9.34E+11
Holocentric,1.02E+12
Holocentric,5.22E+11
Holocentric,1.26E+12
Holocentric,1.87E+12
Holocentric,7.50E+11
Holocentric,1.03E+12
Holocentric,7.36E+11
Holocentric,1.64E+12
Holocentric,1.20E+12
Holocentric,8.86E+11
Holocentric,1.58E+12
Holocentric,1.03E+12
Holocentric,1.56E+12
Holocentric,8.81E+11
Holocentric,1.04E+12
Holocentric,9.83E+11
Holocentric,9.24E+11
Holocentric,5.77E+11
Holocentric,1.06E+12
Holocentric,1.05E+12
Holocentric,6.78E+11
Holocentric,1.19E+12
Holocentric,1.16E+12
Holocentric,1.21E+12
Holocentric,2.16E+12
Holocentric,7.64E+11
Holocentric,8.08E+11
Holocentric,1.29E+12
Holocentric,7.42E+11
Holocentric,1.52E+12
Holocentric,9.32E+11
Holocentric,4.90E+11
Holocentric,7.35E+11
Holocentric,7.04E+11
Holocentric,9.13E+11
Holocentric,7.84E+11
Holocentric,7.24E+11
Holocentric,1.74E+11
Holocentric,1.22E+12
Holocentric,2.22E+12
Holocentric,1.40E+12
Holocentric,1.64E+12
Holocentric,1.52E+12
Holocentric,9.72E+11
Holocentric,1.25E+12
Holocentric,1.48E+12
Holocentric,1.08E+12
Holocentric,1.42E+12
Monocentric,2.31E+12
Monocentric,2.11E+12
Monocentric,3.29E+12
Monocentric,2.23E+12
Monocentric,3.02E+12
Monocentric,1.34E+12
Monocentric,2.28E+12
Monocentric,6.14E+12
Monocentric,2.54E+12
Monocentric,2.58E+12
Monocentric,4.35E+12
Monocentric,1.22E+12
Monocentric,2.15E+12
Monocentric,2.73E+12
Monocentric,2.54E+12
Monocentric,1.80E+12
Monocentric,2.00E+12
Monocentric,1.54E+12
Monocentric,1.89E+12
Monocentric,1.89E+12
Monocentric,2.02E+12
Monocentric,2.85E+12
Monocentric,1.34E+12
Monocentric,1.21E+12
Monocentric,1.63E+12
Monocentric,4.46E+12
Monocentric,1.41E+12
Monocentric,1.40E+12
Monocentric,2.51E+12
Monocentric,1.34E+12
Monocentric,1.47E+12
Monocentric,2.84E+12
Monocentric,2.44E+12
Monocentric,2.09E+12
Monocentric,2.16E+12
Monocentric,1.09E+12
Monocentric,2.01E+12
Monocentric,1.56E+12
Monocentric,2.24E+12
Monocentric,1.81E+12
Monocentric,1.76E+12
Monocentric,2.91E+12
Monocentric,1.06E+12
Monocentric,1.36E+12
Monocentric,1.07E+12
Monocentric,1.59E+12
Monocentric,2.53E+12
Monocentric,1.67E+12
Monocentric,4.65E+12
Monocentric,1.82E+12
Monocentric,2.05E+12
Monocentric,1.48E+12
Monocentric,1.62E+12
Monocentric,9.22E+11
Monocentric,2.60E+12
Monocentric,2.59E+12
Monocentric,1.98E+12
Monocentric,2.39E+12
Monocentric,2.12E+12
Monocentric,3.15E+12
Monocentric,1.86E+12
Monocentric,1.43E+12
Monocentric,3.47E+12
Monocentric,1.42E+12
Monocentric,2.53E+12
Monocentric,1.49E+12
Monocentric,2.16E+12
Monocentric,1.80E+12
Monocentric,1.60E+12
Monocentric,8.31E+11
Monocentric,2.81E+12
Monocentric,3.31E+12
Monocentric,1.54E+12
Monocentric,2.25E+12
Monocentric,2.03E+12
Monocentric,2.15E+12
Monocentric,3.68E+12
Monocentric,1.42E+12
Monocentric,1.35E+12
Monocentric,2.35E+12
Monocentric,2.50E+12
Monocentric,3.17E+12
Monocentric,1.96E+12
Monocentric,9.47E+11
Monocentric,1.48E+12
Monocentric,2.26E+12
Monocentric,1.57E+12
Monocentric,1.81E+12
Monocentric,2.34E+12
Monocentric,3.72E+11
Monocentric,2.25E+12
Monocentric,2.82E+12
Monocentric,2.61E+12
Monocentric,2.81E+12
Monocentric,3.14E+12
Monocentric,1.56E+12
Monocentric,2.20E+12
Monocentric,2.32E+12
Monocentric,2.41E+12
Monocentric,2.36E+12
