,Total.Loci. TAG,Total.Bases. TAG,Total.Loci.TTAGG,Total.Bases.TTAGG,Total.Loci.TCAGG,Total.Loci.TCAGG,all
Aphaenogaster_picea,416,6459,20,335,0,0,24223
Aphaenogaster_rudis,441,6756,24,400,2,40,24832
Apis_cerana,651,11394,54,895,2,30,20636
Apis_dorsata,832,15330,121,2295,1,20,21867
Apis_florea,1026,19731,96,1790,2,35,19927
Apis_mellifera,1026,18312,136,3135,2,40,1500478
Athalia_rosae,705,12642,15,325,0,0,11622
Atta_cephalotes,1011,19962,41,1005,1,20,1869419
Atta_colombica,536,11775,30,535,0,0,26875
Bactrocera_dorsalis,540,7146,158,2495,1,15,36140
Bactrocera_latifrons,657,8589,367,6290,6,95,47909
Bactrocera_oleae,700,9270,213,3570,6,95,48743
Bactrocera_tryoni,595,7869,197,3145,6,95,45212
Belgica_antarctica,200,2634,8,125,0,0,47604
Bicyclus_anynana,9732,171600,284,6215,29,565,49347
Blattella_germanica,14700,332250,367,7505,4,65,82708
Bombus_impatiens,522,15276,21,345,0,0,629301
Bombus_terrestris,495,8799,16,260,0,0,439316
Bombyx_mori,2526,38790,78,3345,7,105,739995
Calopteryx_splendens,3259,41754,42,640,14,210,133932
Camponotus_floridanus,635,9639,167,19790,0,0,27837
Cecidostiba_fungosa,1485,23103,3,45,1,15,12262
Cecidostiba_semifascia,2171,36714,12,185,0,0,19408
Cephus_cinctus,453,7803,113,3950,1,15,16011
Ceratina_calcarata,394,6783,66,1350,0,0,16581
Ceratitis_capitata,1175,18057,81,1315,3,45,42414
Ceratosolen_solmsi,1891,87030,4,60,1,15,27131
Chironomus_riparius,1334,18024,4,60,0,0,17219
Chironomus_tentans,1496,20529,3,50,1,15,23101
Cimex_lectularius,1302,19245,99,1520,1,15,31464
Clunio_marinus,613,8562,1,15,1,15,9999
Coboldia_fuscipes,630,8670,0,0,0,0,8554
Copidosoma_floridanum,11874,420030,2,30,0,0,44781
Cotesia_vestalis,1389,27876,4,60,1,15,19257
Cryptotermes_secundus,7712,159093,496,9270,38,700,50101
Culex_quinquefasciatus,1384,18594,58,5050,9,135,929137
Cyphomyrmex_costatus,504,7641,15,235,0,0,28184
Dendroctonus_ponderosae,458,6552,4,65,5,75,112970
Diabrotica_virgifera,8560,135369,197,3115,8,130,121907
Diachasma_alloeum,752,22770,2,30,2,30,32690
Dinoponera_quadriceps,632,9372,18,550,1,15,19285
Drosophila_ananassae,657,9174,158,2835,9,155,435040
Drosophila_arizonae,1091,16620,10,150,8,120,11609
Drosophila_biarmipes,571,7488,18,275,4,65,19457
Drosophila_bipectinata,611,8613,54,850,6,105,21231
Drosophila_busckii,799,11985,20,315,10,190,14731
Drosophila_elegans,626,9627,30,500,8,140,19848
Drosophila_erecta,510,7179,38,615,5,100,313916
Drosophila_eugracilis,976,14244,22,355,8,120,18772
Drosophila_ficusphila,559,7686,22,350,7,110,16949
Drosophila_grimshawi,1192,17838,36,595,11,180,1534198
Drosophila_hydei,992,15114,8,130,2,30,12684
Drosophila_kikkawai,903,13305,48,765,7,110,20753
Drosophila_melanogaster,725,10344,34,560,4,60,380430
Drosophila_miranda,950,14004,77,1240,27,515,7985
Drosophila_mojavensis,1360,20991,11,180,11,170,19721
Drosophila_montana,725,10587,19,330,5,85,15073
Drosophila_nasuta,1047,15153,7,130,8,120,14790
Drosophila_novamexicana,645,10014,13,210,5,85,18029
Drosophila_obscura,1187,17154,101,1615,36,580,10816
Drosophila_persimilis,945,13662,99,1610,27,480,827051
Drosophila_pseudoobscura,955,14001,78,1260,37,610,789641
Drosophila_sechellia,664,9039,31,475,5,80,344340
Drosophila_serrata,1338,28284,37,620,13,195,31421
Drosophila_simulans,635,8760,30,460,4,65,303298
Drosophila_subobscura,879,12705,24,385,19,305,7847
Drosophila_suzukii,844,12285,165,2855,4,60,24781
Drosophila_takahashii,781,10788,53,890,2,30,23066
Drosophila_virilis,688,10605,17,295,6,95,1348239
Drosophila_willistoni,3014,45633,15,235,11,165,1341226
Drosophila_yakuba,684,9699,52,1145,8,140,376539
Dufourea_novaeangliae,358,6096,4,60,1,15,26686
Ephemera_danica,778,10596,6,205,1,15,45319
